,Наименование ДП,Нематериальные активы,Основные средства,Внеоборотные активы,Дебиторская задолженность,Оборотные активы,Уставный капитал,Капитал и резервы,Заёмные средства (долгосрочные),Долгосрочные обязательства,Заёмные средства (краткосрочные),Кредиторская задолженность,Краткосрочные обязательства,Выручка,Себестоимость продаж,Прибыль (убыток) до налогообложения,Прибыль (убыток) от продажи,"Макс. ПДЗ за 2019 год, дней"
16,16,0.0,47102547.77070063,49947770.70063694,18661146.49681529,143126114.6496815,20996815.2866242,111881528.6624204,0.0,6626751.592356687,0.0,66932484.07643312,74565605.0955414,399285987.2611465,331794904.4585987,30610828.02547771,28552866.24203822,4
17,17,0.0,100944585.9872612,105085350.3184713,232242038.2165605,853603821.6560509,7850318.471337579,257490445.8598726,237668789.8089172,237826114.6496815,1836942.675159235,451511464.9681528,463372611.4649681,1653594904.458599,1561664331.210191,10961783.43949044,36605095.54140128,0
18,18,406369.4267515923,82795541.40127388,138063057.3248408,127187261.1464968,311816560.5095541,16279617.8343949,129315923.566879,198985350.3184713,199743312.1019108,313375.7961783439,120328025.477707,120820382.1656051,683632484.0764331,590376433.1210191,9294904.458598724,16999363.05732484,1
19,19,0.0,195112101.910828,212864968.1528662,295180254.77707,1533670700.636943,59261146.49681529,1573436942.675159,0.0,11632484.07643312,0.0,152475796.178344,161466878.9808917,1768051592.356688,1436126751.592357,123406369.4267516,148417834.3949045,0
20,20,636.9426751592356,78512738.85350318,80104458.59872611,66347770.70063694,354992356.6878981,10281528.66242038,398322929.9363057,0.0,410828.025477707,0.0,30474522.29299363,36363057.32484076,412656050.955414,352445222.9299363,2056687.898089172,-8398726.114649681,10
21,21,756687.898089172,33210828.02547771,33997452.22929936,290073885.3503184,490794267.5159236,4408280.25477707,284505095.5414013,0.0,2033757.96178344,62719745.22292993,175533121.0191083,238252866.2420382,1066617197.452229,478896815.2866242,239212101.910828,244385987.2611465,0
22,22,0.0,19044585.98726114,20354140.12738853,4205095.541401274,9931210.191082802,26114.64968152866,8089171.974522293,1910828.025477707,2603184.713375796,5833121.01910828,13759235.66878981,19592356.68789809,76477707.00636943,6092356.687898089,1524203.821656051,2353503.184713376,0
23,23,16615286.62420382,1557542038.21656,2799251592.356688,6017112101.910828,16297405732.48408,170904458.5987261,4317828662.420382,539292356.687898,1643989808.917198,3133234394.904459,9870810828.025476,13134838853.50318,8294041401.273885,5213312101.910828,1194026751.592357,1405012738.853503,0
24,24,118471.3375796178,523979617.8343949,536939490.4458599,546484713.3757962,1481211464.968153,818471.3375796179,1054331847.133758,0.0,58749681.52866242,241873885.3503185,643370700.6369426,905069426.7515924,3930540127.388535,3344158598.726115,21187898.08917197,82966878.98089172,0
25,25,103821.6560509554,15295532484.07643,76652382802.54778,10251742675.15924,29287037579.61783,1133757.961783439,69778396178.34395,29198203821.65605,29730873248.40764,16894904.45859873,5722024203.821656,6430150955.414013,64917449681.52866,23935845859.87261,30015670700.63694,31475571974.52229,1
26,26,0.0,8225477.707006369,8548407.643312102,7364331.210191082,26619108.28025478,12738.85350318471,10512738.85350318,0.0,0.0,1618471.337579618,23036305.73248408,24654777.07006369,338724840.7643312,337096178.343949,571337.5796178344,1628662.420382166,0
27,27,23566.87898089172,2015802547.7707,3065973885.350318,54334001273.88535,78130149681.52866,436273248.4076433,895540764.3312101,9359010191.082802,47630438853.50318,0.0,32405974522.29299,32670143949.04458,16295731210.19108,16695137579.61783,-742945859.8726114,-399406369.4267516,0
28,28,1061146496.815287,88735031847.13376,208668152866.242,80466878980.89172,159768152866.242,3817197452.229299,214080891719.7452,53545859872.61147,60552229299.36305,13900636942.67516,75387261146.49681,93803184713.3758,314540764331.2102,211112738853.5032,86884076433.12102,72423566878.9809,747
29,29,809554.1401273885,3885291082.802548,4086118471.337579,781038853.5031847,2769724840.764331,70700.63694267516,4930156050.955414,0.0,540747133.7579618,0.0,1143150318.471338,1384940127.388535,10273759872.61146,6478064331.210191,3624538216.560509,3359602547.7707,7
30,30,829040127.388535,97145986624.2038,107931216560.5096,22601311464.96815,41704089171.97452,2325477.707006369,77489906369.42674,32834063694.26752,37155240764.33121,23273921019.10828,10992786624.20382,34990158598.72611,129478640127.3885,74991734394.90445,25042575159.23567,34958696178.34395,12
31,31,636942.6751592356,3014649681.528662,3571974522.292993,386624203.8216561,818471337.5796179,144585987.2611465,2666878980.89172,1371974522.292994,1500636942.675159,3184713.375796178,133757961.7834395,222929936.3057325,4520382165.605095,2330573248.407644,2422292993.630573,1847133757.961784,13
32,32,21019.10828025477,118533121.0191083,118554140.1273885,108525477.7070064,210664968.1528662,94904.45859872612,160701273.8853503,66242038.21656051,66242038.21656051,66373248.40764331,35902547.77070063,102275796.178344,422970063.6942675,317154140.1273885,36421019.10828026,51735031.84713376,12
33,33,0.0,83270700.63694267,84214649.68152866,22495541.40127388,90486624.20382166,65605.09554140127,140836305.7324841,0.0,4342038.216560509,0.0,25432484.07643312,29522929.93630573,300268152.8662421,287241401.2738853,9266878.98089172,11635031.84713376,4
34,34,733121.0191082802,772554777.0700637,906138853.5031848,566789171.9745222,1002589171.974522,71337579.61783439,84305095.54140127,805995541.4012738,960260509.55414,198194267.5159236,494584713.3757961,864162420.3821656,1243119745.22293,811074522.2929935,4919108.280254777,105040127.388535,0
35,35,266878.9808917197,133821019.1082803,136061146.4968153,116154777.0700637,337389808.9171975,5814012.738853503,191506369.4267516,10391719.74522293,12759235.66878981,160496178.343949,99578343.9490446,269185350.3184713,572850318.4713376,380916560.5095541,27529299.36305732,38330573.24840764,0
36,36,0.0,177277707.0063694,194470063.6942675,345628025.477707,726435031.8471338,210914649.6815286,676368789.8089172,0.0,4683439.49044586,0.0,218855414.0127389,239852866.2420382,1731048407.643312,1264974522.292994,407100000.0,421073885.3503184,2
37,37,1183439.490445859,567238853.5031847,1273902547.770701,4359543312.101911,7404414012.738853,181110828.0254777,-1715302547.7707,0.0,8542038.216560509,6888977707.00637,3201789171.974522,10385077070.06369,4592464968.152866,4423442038.21656,-1253825477.707006,-390266242.0382165,10
38,38,42309554.14012738,809235031.8471338,851544585.987261,196931847.1337579,550431210.1910828,1603184.713375796,362733121.0191083,455742038.2165605,701892356.687898,0.0,333090445.8598726,337350318.4713376,1735392993.630573,1397642038.21656,159319745.2229299,196627388.5350318,0
39,39,0.0,201549044.5859872,328745859.8726115,894791082.8025477,1655166242.038217,78343.94904458598,1231848407.643312,0.0,0.0,212945859.8726114,537380254.77707,752063694.2675159,1937238216.560509,1790134394.904458,73278980.89171974,105588535.0318471,14
40,40,0.0,25010828.02547771,39675159.23566879,229860509.5541401,653073248.4076433,6412101.910828025,603432484.0764331,0.0,0.0,0.0,89315923.56687897,89315923.56687897,462073885.3503184,438868152.866242,3199363.057324841,10452866.24203822,3
41,41,26751.5923566879,706541401.2738854,2048184076.433121,1768926751.592357,3652968789.808917,2547914649.681529,411392356.6878981,249331210.1910828,404966242.0382165,2241767515.923567,2401608280.254777,4884794267.515924,3686218471.337579,3046038216.560509,122052866.2420382,228702547.7707006,0
42,42,0.0,645688535.0318471,1143818471.337579,3463347770.700637,7738633757.961783,24126114.64968153,1073949681.528662,1676690445.859873,2144213375.796178,781327388.5350318,4398259872.611465,5664289171.974522,8191542038.21656,7085122929.936305,410811464.9681528,736526751.5923567,28
43,43,377184076.433121,7251343949.044585,23246486624.20382,27046891082.80255,82413354777.07005,190990445.8598726,-3528933121.019108,30246073248.40764,35876050955.41401,4697363057.324841,49409639490.44585,73312723566.87898,16701285987.26115,37440671974.52229,-38650166242.03822,-25208489171.97452,0
44,44,0.0,49234394.9044586,49234394.9044586,23938853.50318472,94215286.62420382,21719745.22292994,107228025.477707,24466242.03821656,24466242.03821656,2561146.496815287,620382.1656050956,11755414.01273885,266898089.1719745,187718471.3375796,51141401.27388535,54531210.1910828,126
45,45,351628025.477707,80363397452.2293,84913705095.5414,3169609554.140127,12932222292.99363,91842675.15923569,80305182802.54776,12179130573.24841,13387908280.25478,17608917.19745223,3710361146.496815,4152836305.732484,17855691082.80255,14858356050.95541,1749012738.853503,1988546496.815286,20
46,46,6664331.210191082,13274640764.33121,14488642038.21656,1377420382.165605,3702656050.955414,2232484.076433121,12094878980.89172,0.0,3633145222.929936,49681.52866242038,2011210191.082802,2463273885.350318,18698442038.21656,12039738216.56051,5003676433.121019,5249129936.305733,58
47,47,0.0,721459235.6687897,740129299.3630573,510652866.2420382,1410157961.783439,9568789.808917196,1877921019.10828,0.0,15266878.98089172,0.0,219740127.3885351,257099363.0573248,1764127388.535032,1197884713.375796,265012101.910828,273391719.7452229,4
48,48,0.0,753043949.044586,1189652866.242038,5710339490.44586,8972550955.414013,624840.7643312102,1532891719.745223,2385401910.828025,2781398089.171974,1394196815.286624,4393400000.0,5847914012.738853,4407676433.121019,3698812738.853503,83165605.0955414,201142038.2165605,14
49,49,0.0,1572635668.789809,2281171974.522293,3208249681.528662,8476497452.229299,55203821.65605095,4444026114.649681,713375796.1783439,920266242.0382164,2063694267.515924,2807107006.369427,5393377070.063694,13656620382.1656,11762454140.12739,605138853.5031847,1270058598.726115,0
50,50,21656.05095541401,172356687.8980892,183100000.0,202286624.2038217,328432484.0764331,42985350.31847133,202682802.5477707,123964968.1528662,137820382.1656051,64821656.05095541,94717197.45222928,171029299.3630573,768952229.299363,632285350.3184713,-15263694.26751592,14001273.88535032,5
51,51,5676433.121019108,8479464331.210191,14221838853.50318,5936829299.363057,24680216560.50955,698089.1719745223,25348849681.52866,0.0,401248407.6433121,8908224840.76433,3892785350.318471,13151957324.84076,44164615923.56688,16389705732.48408,23690064331.21019,22302004458.59872,7
52,52,567515.923566879,653066242.0382166,975639490.4458598,935019108.2802548,1826028025.477707,17694267.51592357,1207076433.121019,573248407.6433121,652022929.9363058,17562420.3821656,767166242.0382165,942568152.866242,3025222292.99363,2154569426.751592,229512101.910828,320576433.1210191,4
53,53,10191.08280254777,1206921656.050955,2281870063.694268,9392371337.579617,15255742675.15924,47770.70063694267,-773212738.8535031,8041848407.643311,10873599363.05732,154823566.8789809,7201723566.878981,7437226114.649681,3287504458.598726,3534251592.356688,-743938853.5031847,-263392993.6305732,7
54,54,7006.369426751592,1891177070.063694,1923671974.522293,10101540764.33121,43113810828.02548,210191.0828025477,2579862420.382165,1557905095.541401,20016920382.1656,270754140.1273885,21534689171.97452,22440700000.0,9086391082.802547,8948797452.2293,84240127.38853502,137593630.5732484,0
55,55,0.0,4801910.828025478,4801910.828025478,2920382.165605095,41007006.36942675,318471.3375796178,21130573.24840764,0.0,0.0,14877070.06369427,9801273.88535032,24678343.94904459,168372611.4649681,151129936.3057325,994904.458598726,2596815.286624204,1
56,56,0.0,76449044.58598725,77145859.87261146,91730573.24840765,320542038.2165605,6369426.751592357,348704458.5987261,0.0,7397452.229299363,0.0,36717834.39490446,41585987.26114649,851426114.6496814,705921656.0509554,88263694.26751591,72141401.27388535,1
57,57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,560
58,58,0.0,97452.22929936304,97452.22929936304,526751.5923566879,589171.974522293,0.0,-350318.4713375796,0.0,0.0,991082.8025477708,45859.87261146497,1036942.675159236,11654140.12738854,11637579.6178344,1273.885350318471,16560.50955414013,7
59,59,10828.02547770701,53294904.45859873,53457961.78343949,97156050.955414,550661783.4394904,4837579.617834395,405101273.8853503,0.0,1187261.146496815,16942675.15923567,180888535.0318471,197831210.1910828,1732917197.452229,1549323566.878981,46177070.06369427,47388535.03184713,7
60,60,114457324.8407643,3003247770.700637,18702292993.63057,16587425477.70701,48931514649.68153,3594981528.66242,-6678336942.675159,0.0,30421182165.60509,25986301273.88535,14697361783.43949,43890962420.38216,11048553503.18471,11110622929.93631,-1615869426.751592,-62069426.75159235,91
61,61,11464.96815286624,7067836305.732484,9080473885.35032,20653443949.04458,69786938853.50319,195541.4012738853,836486624.2038217,2721175159.235669,72370382802.54778,630374522.2929937,4776484076.433121,5660543312.101911,11273680891.71975,11663672611.46497,-2769759235.66879,-389991719.7452229,0
62,62,961551592.356688,31838231210.19108,63754485350.31847,40721343312.10191,75252785987.26114,41469185987.26115,41219103184.71337,51685675159.23566,63803973248.40764,4054528662.420382,28600900636.94268,33984194904.4586,66416063057.32484,44321905095.5414,5344470063.694267,12864198726.11465,38
63,63,1436743312.101911,929088679617.8344,1031952103821.656,29077475159.23567,141173219745.2229,505173592356.6879,1024324336305.732,13092584076.43312,86916148407.64331,10115537579.61783,44151449681.52866,61884838853.50318,247818961783.4395,148150859872.6115,38657700000.0,51394997452.22929,0
64,64,0.0,29259235.66878981,33285987.2611465,85114649.68152866,284431210.1910828,2547.770700636942,25084076.43312101,19852229.29936305,20859235.66878981,161921019.1082802,109853503.1847134,271774522.2929936,996782165.6050956,904959872.611465,4160509.554140127,25612101.91082802,3
65,65,1017834.394904458,10802671337.57962,15859784713.3758,29147207643.3121,94313957324.84076,7033442675.159235,17766032484.07643,4304835031.847134,54297519745.22293,2702829299.363057,33890682165.60509,38110189808.9172,32035396178.34395,30072605095.5414,734959235.6687897,1930197452.2293,227
66,66,11464.96815286624,2461070700.636942,3276993630.573248,2468635031.847134,11683713375.79618,389171.974522293,-325438216.5605096,302129299.3630573,7777691082.802547,2264719108.280255,5180887898.089171,7508454140.127388,5061815923.566878,5060312738.853503,-416985987.2611465,1503184.713375796,153
67,67,48407.64331210191,13951541401.27389,26891764968.15286,88672594267.51591,297129728025.4777,10781616560.50955,39250301273.88535,0.0,248172191082.8025,1056050.955414013,30766964968.15286,36599000636.94267,68402854777.07006,65084514012.73885,5304856687.898089,3318340764.33121,0
68,68,2028662.420382166,1310336942.675159,1333913375.796178,655640127.388535,4416735668.789808,21398726.11464968,-57988535.03184713,348407643.3121019,749245222.9299363,989711464.9681528,4044473885.350318,5059392356.687898,1282410191.082802,1215271337.579618,-106723566.8789809,-33959235.6687898,0
69,69,0.0,2671974.522292993,3427388.535031847,46459872.61146497,613782802.5477706,19108280.25477707,147968789.8089172,121977707.0063694,122313375.7961783,107982802.5477707,238945222.9299363,346928025.477707,0.0,0.0,1661783.439490446,-170700.6369426752,0
70,70,0.0,894754777.0700637,3583811464.968153,6858563057.324841,11507185350.31847,7198089.171974522,8341608917.197452,0.0,-878343.9490445859,0.0,6735270700.636943,6750266242.038217,17536872611.46497,17030395541.40127,338600000.0,506477070.0636942,31
71,71,23617834.39490446,650743312.1019108,830592356.687898,1640454140.127388,4055912101.910828,259677707.0063694,819582165.6050955,1719745222.929936,1749494904.458599,16900000.0,2244408917.197452,2317427388.535032,25013633121.01911,23864312101.91083,729638853.5031847,-137608917.1974522,2
72,72,0.0,129297452.2292994,172538216.5605095,443091082.8025478,769042038.2165605,50955.41401273885,223574522.2929936,178182165.6050955,178182165.6050955,177889808.9171974,339365605.0955414,539823566.8789809,1618024840.764331,1395122292.99363,30266242.03821656,90570700.63694268,0
73,73,0.0,2333121.01910828,14365605.0955414,44724203.82165605,216436942.6751592,6369.426751592357,17682165.60509554,0.0,0.0,10764968.15286624,200627388.5350318,213120382.1656051,166239490.4458599,157790445.8598726,3010828.025477707,3144585.987261146,0
74,74,0.0,159345222.9299363,159926114.6496815,19152229.29936305,293774522.2929936,4084076.433121019,274370063.6942675,81870063.69426751,81870063.69426751,0.0,97460509.55414012,97460509.55414012,323570063.6942675,319524203.821656,2186624.203821656,-7614012.738853503,0
75,75,30765605.0955414,784116560.5095541,1760256050.955414,1940269426.751592,4438904458.598726,31847133.75796178,4744210191.082803,401273885.3503184,449545222.9299363,130035031.8471338,846056050.9554139,1005405095.541401,10922433757.96178,6758812101.910828,2020828025.477707,2091141401.273885,8
76,76,359235.6687898089,616203821.6560509,760229936.3057325,582248407.6433121,1346007006.369427,6369.426751592357,1936180891.719745,0.0,27517197.4522293,0.0,142538853.5031847,142538853.5031847,2683608917.197452,1914205732.484076,392770063.6942675,368666878.9808917,12
77,77,13479617.8343949,4147471337.579618,4592808917.197452,2866534394.904459,4334442675.159236,257452229.299363,7241884713.375796,0.0,285495541.4012738,0.0,1341980891.719745,1399871337.579618,9766302547.7707,7809207006.369427,1746663694.267516,1397632484.076433,0
78,78,0.0,295549681.5286624,408842038.2165605,1620497452.229299,2213310191.082802,185414012.7388535,156972611.4649681,582662420.3821656,589551592.3566879,107035668.7898089,1762137579.617834,1875627388.535032,3676485987.261147,3527187898.089172,-222906369.4267516,105183439.4904458,13
79,79,0.0,2144082165.605096,2205156687.898089,4138320382.165605,6128445859.872611,979530573.2484076,7179311464.968153,0.0,127489171.9745223,0.0,954787898.089172,1026801910.828026,19781476433.12102,15798952229.29936,3148999363.057325,2856365605.095541,0
80,80,364968.1528662421,524404458.5987261,530475796.178344,279575796.178344,965456050.955414,20994267.51592357,814196815.2866242,436545222.9299363,446809554.1401274,63585350.31847133,171340127.388535,234925477.7070064,1665781528.662421,1434085987.261146,54222929.93630573,94357961.78343949,8
81,81,0.0,105722929.9363057,133078343.9490446,57244585.98726115,163865605.0955414,19108.28025477707,218630573.2484076,7368152.866242038,14286624.20382166,0.0,57186624.20382165,64026751.59235668,553635668.7898089,562763057.3248408,-29243312.10191083,-38935668.78980891,32
82,82,0.0,22716560.50955414,23536942.67515923,6045222.929936306,89957324.84076433,1592356.687898089,23696815.2866242,58005095.54140128,58005095.54140128,4060509.554140127,25503821.65605096,31792356.68789809,221194267.5159236,186721019.1082802,824203.821656051,4573885.350318471,7
83,83,0.0,67416560.50955413,68480891.71974522,50907643.31210191,109888535.0318471,6369.426751592357,6294267.515923566,75740127.38853502,76656050.95541401,40095541.40127389,55323566.87898089,95419108.28025477,462431847.133758,419747133.7579618,5396815.286624203,18283439.49044586,0
84,84,7549617834.394904,238227743949.0446,471804782165.6051,39324887261.14649,171846727388.535,100792993.6305732,124130076433.121,362811883439.4904,402121008917.1975,75638351592.35669,32781867515.92356,117400424203.8217,387937496178.3439,151626681528.6624,134955683439.4904,209145149044.586,842
85,85,0.0,238977707.0063694,240349044.5859872,157870700.6369427,707700636.9426751,6369426.751592357,564952866.2420382,157889171.9745223,158281528.6624204,25553503.18471337,189373248.4076433,224814012.7388535,1827001273.88535,1609126114.649682,88595541.40127388,156847133.7579618,7
86,86,0.0,7900000.0,7900000.0,11512101.91082802,24855414.01273885,108280.2547770701,24429936.30573248,0.0,0.0,3280891.719745223,5044585.987261146,8325477.707006369,15466242.03821656,17919108.28025478,526114.6496815287,-2452866.242038216,39
87,87,0.0,31326751.59235669,31326751.59235669,456459872.611465,815444585.987261,266242.0382165605,43149681.52866242,68475796.17834395,92836942.67515925,1364331.210191083,709420382.1656051,710784713.3757962,2431775159.235669,2139735031.847134,2963057.324840764,26045859.87261146,25
88,88,998726.1146496816,9500658598.726114,11206163694.26752,2419133121.019108,7642742675.159235,1040534394.904458,16648570063.69427,0.0,728167515.9235668,0.0,1139164331.210191,1472168789.808917,8868619108.280254,5698790445.859873,2296255414.012739,2277936942.675159,0
89,89,208118471.3375796,10760509.55414013,321061783.4394904,1525047133.757962,2022352866.242038,12738.85350318471,1250264968.152866,0.0,224840.7643312102,462004458.5987261,613883439.4904459,1092924840.764331,5237839490.44586,4367904458.598726,123889808.9171974,275915923.566879,37
90,90,0.0,945222.9299363056,1166242.03821656,350059235.6687898,617070700.6369426,12738.85350318471,59033757.96178344,95541401.27388534,95593630.5732484,0.0,461349044.5859873,463609554.1401274,1265187898.089172,1223662420.382166,5282165.605095541,15157324.84076433,15
91,91,3821.656050955414,17050955.41401274,17210191.08280255,12885350.31847134,55142675.15923566,6369.426751592357,55242675.15923566,0.0,2551592.356687898,3710191.082802548,10364968.15286624,14558598.72611465,189803184.7133757,163058598.7261146,6994904.458598725,8440127.388535032,9
92,92,0.0,573555414.0127388,632840764.3312101,343231210.1910828,1579075796.178344,894132484.0764331,1171474522.292994,0.0,52019108.28025477,0.0,891098726.1146497,988422929.9363056,4143978343.949044,3039675796.178344,251728662.4203821,274522292.9936306,11
93,93,0.0,417197.4522292993,590445.8598726115,18409554.14012739,61596815.2866242,6369.426751592357,31555414.01273885,0.0,0.0,15923566.87898089,14708280.25477707,30631847.13375796,214392993.6305732,188403821.6560509,6398726.114649681,7754140.127388535,0
94,94,0.0,122607643.3121019,155503184.7133758,194888535.0318471,586981528.6624204,2864968.152866242,121645222.9299363,0.0,6132484.076433121,0.0,588761783.4394904,614707006.3694267,1667831847.133758,1534515923.566879,4765605.095541401,26391719.74522293,0
95,95,0.0,31165605.0955414,31165605.0955414,21798726.11464968,64189808.91719745,63694.26751592357,22458598.72611465,57324840.76433121,57324840.76433121,1525477.707006369,14046496.81528662,15571974.52229299,228343312.1019108,194223566.8789809,509554.1401273885,10319108.28025478,15
96,96,0.0,22143949.04458599,22143949.04458599,31149044.58598726,75952229.29936305,9554.140127388537,40327388.53503185,1882165.605095541,1882165.605095541,18113375.79617834,37185987.26114649,55886624.20382165,202953503.1847134,191031847.1337579,6080891.719745223,6682165.605095541,22
97,97,340606369.4267516,39283309554.14013,40477284713.37579,5462336305.732484,18066725477.707,2547770.700636942,49226851592.35669,0.0,2411861146.496815,0.0,6176020382.165605,6905297452.2293,36738861146.49681,27928305732.48408,5513599363.057324,5350620382.165605,7
98,98,0.0,236556687.8980892,236654140.1273885,130647770.7006369,591033757.9617834,15445859.87261146,783324203.821656,0.0,0.0,0.0,44363694.26751592,44363694.26751592,946609554.1401272,813785987.2611464,49452229.29936305,25408917.19745223,0
99,99,0.0,30616560.50955414,30913375.79617834,62602547.77070063,133091082.8025478,3184713.375796178,16666878.98089172,52012101.91082802,53247133.75796178,10265605.0955414,83824840.7643312,94090445.8598726,245416560.5095541,239205095.5414013,760509.5541401274,380254.7770700637,13
100,100,0.0,19059235.66878981,19059235.66878981,15098089.17197452,158216560.5095541,440127.3885350318,118473248.4076433,0.0,0.0,36878980.89171974,21923566.87898089,58802547.77070063,541603184.7133758,453631847.133758,12268152.86624204,18760509.55414013,0
101,101,0.0,7358598.726114649,7807643.312101911,44515923.56687898,145721656.0509554,22929.93630573248,10140127.38853503,0.0,0.0,0.0,141191719.7452229,143389171.9745223,550915923.5668789,541969426.7515923,8669426.751592357,8946496.815286623,0
102,102,0.0,89407643.3121019,96224203.82165603,551113375.7961783,2004761146.496815,19159235.66878981,404217197.4522293,0.0,6459235.668789809,0.0,1690308917.197452,1690308917.197452,2085428662.420382,2029373885.350318,17832484.07643312,18048407.6433121,32
103,103,21599363.05732484,1661089808.917198,3678024203.821656,5697059872.611465,10253013375.79618,259872611.4649681,1049291082.802548,0.0,36602547.77070063,3575691719.745223,8843059872.611465,12845143949.04459,6522298089.171974,5108115923.566878,347961783.4394904,667775159.2356688,43
104,104,14012.73885350318,404757961.7834395,567958598.7261146,67156687.89808917,473552229.299363,640127.3885350318,704685987.2611464,0.0,21157961.78343949,133983439.4904458,173233121.0191083,315666878.9808917,1785503821.656051,1467322292.99363,142974522.2929936,194926114.6496815,6
105,105,0.0,223687898.089172,267945222.9299363,17693630.57324841,431550318.4713376,303458598.7261146,34301910.82802548,95477070.06369428,98729936.30573247,25984713.37579618,532746496.8152866,566463694.2675159,749296178.343949,679222292.9936305,-21677707.00636943,67219108.28025478,43
