,Наименование ДП,Нематериальные активы,Основные средства,Внеоборотные активы,Дебиторская задолженность,Оборотные активы,Уставный капитал,Капитал и резервы,Заёмные средства (долгосрочные),Долгосрочные обязательства,Заёмные средства (краткосрочные),Кредиторская задолженность,Краткосрочные обязательства,Выручка,Себестоимость продаж,Прибыль (убыток) до налогообложения,Прибыль (убыток) от продажи
29,45,544955414.0127388,92001080891.71974,105065535031.8471,4545440764.33121,7711578980.89172,91842675.15923569,81088537579.61783,24453399363.05732,25780805732.48407,19417197.4522293,5352824203.821656,5907770700.636943,19336840764.33121,16634276433.12102,-1121638853.503185,1952582165.605095
30,49,0.0,1500299363.057325,3368264331.210191,3637580891.719745,8876002547.7707,55203821.65605095,4913631210.191083,955414012.7388536,1161289808.917197,2038216560.509554,3845435668.789809,6169345859.872611,14048886624.20382,12431117834.3949,575802547.7707006,896926114.6496814
31,54,1910.828025477707,2047641401.273885,2594771337.579618,17614961146.49681,58328301910.82803,271337.5796178344,154634394.9044586,9521514649.681528,34480584076.43312,2376670063.694267,23450630573.24841,26287854777.07006,7190243312.101911,7976978343.949044,-1335473885.350318,-786735031.8471338
32,55,0.0,2717197.452229299,2717197.452229299,3279617.834394904,39861146.49681529,318471.3375796178,22668789.8089172,0.0,0.0,11063694.26751592,8845859.872611465,19909554.14012739,133622929.9363057,118371974.522293,2002547.770700637,3082802.5477707
33,56,0.0,87363057.32484075,258031210.1910828,143789808.9171974,246076433.1210191,6369426.751592357,411092356.6878981,22835031.84713376,29572611.46496815,0.0,58135668.78980891,63442675.15923566,758466878.9808917,611555414.0127388,71204458.59872611,69147770.70063694
34,57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35,58,0.0,97452.22929936304,97452.22929936304,761146.4968152866,852229.2993630572,0.0,-347770.7006369426,0.0,0.0,1142675.159235669,154140.127388535,1296815.286624204,7512101.910828025,7491082.802547771,2547.770700636942,21019.10828025478
36,59,8280.254777070064,75617834.39490445,75775159.2356688,131224840.7643312,502712738.8535032,4837579.617834395,430883439.4904459,0.0,2326114.649681529,3271337.579617834,142007006.3694268,145278343.9490446,1799035668.789809,1612414649.681529,33344585.98726115,40529299.36305732
37,60,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38,64,0.0,23099363.05732484,27147770.70063694,74028025.477707,314974522.2929936,2547.770700636942,25244585.98726115,16445222.9299363,16445859.87261146,182377707.0063694,118054140.1273885,300431847.1337579,1107649044.585987,982770700.6369426,8672611.464968152,23975796.17834395
39,65,22303821.65605095,14016085987.26115,22840665605.09554,31271212738.8535,130555154140.1274,10110287261.1465,19518938853.50319,8044543949.044585,94624729936.30573,274136305.732484,37781052229.29936,39252150955.41401,30753617834.39491,29572896815.28662,897615286.6242038,1134268789.808917
40,67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41,69,0.0,0.0,754140.127388535,18217197.4522293,153921019.1082802,19108280.25477707,150985350.3184713,0.0,335668.7898089172,0.0,3354140.127388535,3354140.127388535,0.0,0.0,1879617.834394904,-130573.2484076433
42,70,929299.3630573248,1319600636.942675,3410007006.369427,7322495541.401274,19642017834.39491,7198089.171974522,8850987898.089172,0.0,180524840.7643312,0.0,14017029299.36306,14020512101.91083,27783429936.30573,27388084076.43312,373351592.3566879,395345859.8726115
43,71,12331210.1910828,645054140.1273885,792440764.3312101,1621087898.089172,5495801910.828025,259677707.0063694,1905343949.044586,0.0,58836942.67515923,135668.7898089172,4248053503.184713,4324061783.43949,37709425477.70701,35745521019.10828,622598726.1146497,146846496.8152866
44,74,189171.974522293,155960509.5541401,156291082.8025478,39814012.7388535,299675796.178344,4084076.433121019,286057961.7834395,81938216.56050955,82847133.75796178,0.0,87061783.43949044,87061783.43949044,552033757.9617834,541265605.0955414,16765605.0955414,-3922929.936305732
45,75,33394267.51592357,794530573.2484076,2105642038.21656,3157840764.33121,6665810191.082802,31847133.75796178,6437236305.732484,0.0,47620382.16560509,87426114.64968152,2154366878.980892,2286595541.401274,12844764331.21019,7955847133.757961,1955159872.611465,2083988535.031847
46,76,5891719.74522293,767941401.2738854,861864331.210191,725339490.4458598,1655685350.318471,6369.426751592357,2081369426.751592,13720382.16560509,51450955.41401274,53212738.85350318,331516560.5095541,384729299.3630573,2606301910.828025,2042841401.273885,216080254.77707,196101910.8280255
47,77,12712738.85350318,4674243949.044586,5505369426.751592,1231195541.401274,3225807643.312102,257452229.299363,6647242038.21656,0.0,269223566.8789809,357503821.6560509,1386857961.783439,1814711464.968153,8348484713.375796,7341681528.66242,1806059235.66879,182889808.9171974
48,78,55414.0127388535,323843312.1019108,451061783.4394904,1380696815.286624,2099936942.675159,185414012.7388535,-78309554.14012739,664949681.5286624,673180254.77707,113414012.7388535,1823980891.719745,1956128662.420382,3798126114.649682,3650033757.961783,-412264968.1528662,107771974.522293
49,81,0.0,80636305.73248407,81253503.18471338,48238216.56050956,172145859.8726115,19108.28025477707,178887898.089172,9852229.299363056,19145859.87261146,0.0,48819108.28025477,55365605.0955414,398622929.9363057,368507643.3121019,838216.5605095541,-1985350.318471337
50,82,0.0,28117197.4522293,28117197.4522293,6755414.012738854,108459872.611465,1592356.687898089,25631847.13375796,66572611.46496815,66572611.46496815,6391719.74522293,35926114.64968153,44372611.46496815,198168789.8089172,163035031.8471338,1198726.114649681,6305095.541401274
51,84,9972931210.191082,251972208280.2548,505149529299.363,179103386624.2038,443546825477.707,100792993.6305732,294264335031.8471,452577585350.3185,477142501910.828,103154243312.1019,55732207006.36942,177289517834.3949,588475978980.8917,192333148407.6433,243907282802.5478,364344087261.1465
52,89,170657961.7834395,79273248.4076433,1403742038.21656,2203322292.99363,2708520382.165605,12738.85350318471,1342388535.031847,0.0,592391082.8025477,1100570063.694268,963391082.8025476,2177482802.547771,4169541401.273885,3352617197.452229,193833121.0191083,290168789.8089172
53,90,0.0,585350.3184713376,1098089.171974522,166341401.2738853,455129936.3057325,12738.85350318471,60182165.60509554,0.0,9554.140127388537,0.0,395468152.8662421,396036305.732484,1089211464.968153,1061561783.43949,1252229.299363057,2711464.968152866
54,92,0.0,512356050.955414,660643949.044586,420786624.2038217,2449647770.700637,894132484.0764331,1810118471.337579,0.0,61973248.40764331,0.0,1093813375.796178,1238200000.0,4659508280.254777,3216346496.815287,570171337.5796179,542222292.9936305
55,95,0.0,14812738.85350318,14812738.85350318,23399363.05732484,89723566.87898089,63694.26751592357,26152866.24203822,40605095.54140127,40605095.54140127,6359872.611464968,31418471.33757962,37778343.94904459,237800000.0,193897452.2292994,4146496.815286624,15166878.98089172
56,96,0.0,23085350.31847133,23137579.61783439,41038853.50318471,100915286.6242038,9554.140127388537,44258598.72611465,0.0,47770.70063694267,34267515.92356688,45478980.89171974,79746496.81528662,147193630.5732484,127934394.9044586,1876433.121019108,-2607006.369426752
57,98,0.0,213162420.3821656,213162420.3821656,87237579.61783439,585791082.8025477,15445859.87261146,743132484.0764331,0.0,0.0,0.0,55821019.10828025,55821019.10828025,812937579.6178343,714591082.8025477,28153503.18471337,9594267.515923567
58,101,0.0,6531210.191082803,7088535.031847133,112608917.1974522,420654140.1273885,22929.93630573248,15119108.28025478,0.0,0.0,120988535.0318471,289539490.4458598,412623566.8789809,519308280.2547771,492756687.8980892,2198089.171974522,26551592.3566879
59,103,49296815.2866242,1790538216.560509,4308156050.955414,13596388535.03185,18937529299.36306,259872611.4649681,476662420.3821656,0.0,110447770.7006369,5419258598.726114,16361087898.08917,22658575159.23567,8603907643.312101,8005971974.522293,-308782165.6050955,-137410191.0828025
60,104,7643.312101910828,578578343.9490446,833802547.7707006,45022292.99363057,385478343.9490446,640127.3885350318,763164968.1528662,0.0,26963057.32484076,143912101.910828,274047770.7006369,429152866.2420382,1288728025.477707,1111978980.89172,10094267.51592357,65680254.77707006
61,107,0.0,9671337.579617834,10168789.8089172,262003821.656051,965887261.1464968,955414.0127388536,457161146.4968153,0.0,21019.10828025478,0.0,517150318.4713376,518873885.3503184,1348367515.923567,1033152229.299363,115247133.7579618,115971974.522293
62,108,0.0,2064968.152866242,2064968.152866242,65245222.9299363,374722292.9936306,6369.426751592357,89632484.07643312,0.0,31847.13375796178,95756687.89808916,191366242.0382166,287122929.9363057,1101724840.764331,1018782165.605096,23477707.00636943,38606369.42675159
63,110,0.0,2074008280.254777,3504926751.592357,2397833121.019108,5760233757.961783,35031847.13375796,3574863057.324841,2611464968.152866,2741088535.031847,5383439.49044586,2378108917.197452,2949208917.197452,7865650955.414012,6284899363.057324,-476126751.5923567,28009554.14012739
64,111,43949.04458598726,2928662.420382165,11322929.93630573,75078980.89171974,515777707.0063694,6369426.751592357,291656687.8980892,22292993.63057325,27271337.57961783,0.0,202401910.8280255,208172611.4649681,608391719.7452229,557095541.4012738,47588535.03184713,51296178.34394904
65,112,0.0,10838853.50318471,10838853.50318471,35747133.75796178,143454140.1273885,6369.426751592357,108690445.8598726,0.0,0.0,0.0,45602547.77070063,45602547.77070063,374724203.821656,317535668.7898089,37528025.47770701,36260509.55414013
66,114,1257961.78343949,2322983439.490446,2646149044.585987,5347175796.178344,8637239490.44586,755749681.5286624,5297530573.248407,2293039490.44586,2648203821.656051,1424121656.050955,1654585350.318471,3337653503.184713,9570299363.057323,6092034394.904458,2800866242.038217,2562954777.070064
67,116,1112101.910828026,964231210.1910828,2038078980.89172,3523949681.528662,12281326114.64968,573885.3503184713,9940790445.859873,0.0,0.0,1020844585.987261,3298364331.210191,4378614649.681528,49847101273.88535,43730764968.15286,3180468789.808917,2994350955.414012
68,120,0.0,64595541.40127388,64722929.93630573,200678343.9490446,401177707.0063694,6369.426751592357,205870700.6369427,0.0,0.0,57415923.56687898,202613375.7961783,260029936.3057325,914894904.4585989,703744585.9872612,108229299.3630573,97355414.01273884
69,121,1350318.47133758,77515923.56687897,116943312.1019108,76831847.13375796,165892356.6878981,19108.28025477707,85671974.52229299,22331210.1910828,39031210.1910828,32211464.96815287,110224203.821656,158132484.0764331,645852229.299363,504675159.2356688,7421019.108280255,20455414.01273885
70,122,0.0,14068789.8089172,15100636.94267516,63280891.71974522,153289808.9171974,6369.426751592357,88126114.64968152,0.0,0.0,15791082.80254777,64473248.40764331,80264331.21019109,372181528.6624204,297135668.7898089,12215286.62420382,29761783.43949044
71,124,1261917834.394904,34008038853.50319,701053071337.5796,19721286624.20382,62900486624.20382,87898.08917197451,455191071974.5223,152516203821.656,259646440764.3312,34351868152.86624,13677310828.02548,49116045222.92993,139792549681.5287,33500956687.89809,345669830573.2484,96369729299.36304
72,125,0.0,9663057.324840764,9663057.324840764,121203821.656051,212111464.9681529,636942.6751592356,52721019.10828026,28678980.89171974,28736942.67515923,3138216.560509554,131132484.0764331,140315923.566879,1259292993.630573,1059771974.522293,16561783.43949044,9807006.369426752
73,126,0.0,125487898.089172,320056687.8980892,5144041401.273885,8063359872.611465,59896815.2866242,985501910.8280256,0.0,58996178.34394904,1910828025.477707,4429954140.127388,7338918471.33758,5992326751.592357,6915942038.21656,-1292934394.904459,-1172994904.458599
74,127,2411464.968152866,963057.3248407644,3375159.23566879,27124840.76433121,166184076.433121,3191082.802547771,96810828.0254777,0.0,0.0,12655414.01273885,60092356.68789808,72747770.70063694,489315286.6242038,382864331.2101911,9350318.47133758,11405732.48407643
75,128,57324.84076433121,32114012.7388535,32999363.05732484,3900033757.961783,8966568152.866241,6439490.445859873,2537458598.726115,294904.4585987261,1364331.210191083,2338435031.847134,4085808917.197452,6460743949.044586,27381795541.40127,24416493630.57325,502970700.6369427,632281528.6624204
76,129,102224840.7643312,216666242.0382166,319660509.5541401,722182802.5477706,1822012738.853503,98053503.18471338,1333014012.738853,0.0,4609554.140127389,468256050.955414,317079617.8343949,804049681.5286624,2554445859.872612,1767638853.503185,481296815.2866242,460616560.5095541
77,131,465605.0955414012,25984076.43312102,61260509.55414013,255095541.4012739,762173885.3503184,676433.1210191082,222708280.2547771,208140764.3312102,208140764.3312102,188737579.6178344,184973248.4076433,392585350.3184713,2908698726.11465,2527538853.503185,24365605.0955414,92159235.6687898
78,133,1477724203.821656,59545442675.15923,89408790445.85986,30191735031.84713,34198374522.29299,2110375796.178344,73420993630.57324,20127388535.03185,31585384713.37579,7350678343.949044,10044656687.89809,18600786624.20382,47037179617.8344,59787365605.09554,-16786245222.92994,-14800148407.64331
79,134,181528.6624203822,36146496.81528662,186861146.4968153,107451592.3566879,336259872.611465,6369.426751592357,263670063.6942675,115312738.8535032,118316560.5095541,30563694.26751592,95473885.35031846,141135031.8471338,621077707.0063694,463508280.2547771,10743312.10191083,9544585.987261146
80,135,68152.86624203822,10989505732.48408,14175431847.13376,11454835031.84713,17148019108.28025,372312738.8535032,9099954140.127388,7738421656.050955,8034938216.56051,6259235668.789808,7588812101.910828,14188558598.72611,32669234394.90446,29845166878.98089,-401426114.6496815,845772611.4649681
81,136,0.0,7645222.929936306,7645222.929936306,28361146.49681529,80410828.0254777,2601273.885350318,35346496.81528662,25456050.95541401,25456050.95541401,0.0,27254140.12738853,27254140.12738853,303200000.0,281370063.6942675,907006.3694267516,3265605.095541401
82,137,66242.03821656051,18331236305.73248,18736303184.71338,725225477.7070063,2908216560.509554,12164968152.86624,13945354140.12739,2738853503.184713,3044784713.375796,2742235031.847134,1692476433.121019,4654380891.719745,7199012738.853503,5788817197.452229,-110840764.3312102,310578980.8917198
83,140,0.0,1077070.063694268,1097452.229299363,6428025.477707006,26272611.46496815,6369.426751592357,20538216.56050956,0.0,189171.974522293,0.0,6642675.159235668,6642675.159235668,52345859.87261146,43671337.57961784,3810191.082802548,3829936.305732484
84,141,0.0,22856050.95541401,22872611.46496815,316471337.5796178,658010191.0828025,668789.8089171974,115792993.6305732,117834394.9044586,118665605.0955414,29815286.62420382,415424840.7643312,446424203.821656,2806954777.070064,2684466242.038217,25753503.18471337,45919108.28025477
85,142,0.0,2016560.50955414,2016560.50955414,6147770.700636943,22276433.12101911,0.0,6376433.121019108,0.0,0.0,1261146.496815287,16655414.01273885,17916560.50955414,36978980.89171974,36424840.76433121,481528.6624203821,554140.1273885351
86,143,0.0,67038853.50318471,67049044.58598725,70754777.0700637,98458598.72611465,6369.426751592357,35522292.99363057,0.0,1378343.949044586,12915923.56687898,115691082.8025478,128607006.3694267,266587898.089172,262017197.4522293,14484076.43312102,3719108.280254777
87,144,0.0,6131210.191082803,6131210.191082803,70782802.5477707,71077707.00636943,6369.426751592357,2136305.732484076,0.0,5095.541401273885,9484076.433121018,65424203.82165605,75067515.92356688,341656050.955414,332524203.821656,647770.7006369426,1515923.566878981
88,145,0.0,0.0,0.0,21144585.98726115,63280891.71974522,6369.426751592357,15060509.55414013,26429299.36305732,26429299.36305732,503821.6560509554,21287898.08917197,21791082.80254777,262091719.7452229,234092356.6878981,5845859.872611465,9149044.58598726
89,146,0.0,50134394.9044586,50134394.9044586,43959235.6687898,50903821.65605095,6389808.917197452,45511464.96815287,16247133.75796178,16247133.75796178,18412738.85350318,20866878.98089172,39279617.8343949,224585350.3184713,202870063.6942675,13282802.5477707,13722929.93630573
90,148,5732.484076433121,98863057.32484075,101102547.7707006,262925477.7070064,684143312.1019108,6375796.178343949,697627388.5350318,636.9426751592356,1119745.222929936,0.0,80180891.71974522,86498726.11464968,1830329299.363057,1451461783.43949,234291719.7452229,213105095.5414013
91,149,0.0,57493630.57324841,58170063.69426751,115266878.9808917,348189171.9745223,6369.426751592357,318872611.4649681,0.0,66878.98089171974,0.0,74692993.63057324,87419745.22292994,877423566.8789809,675992356.687898,171721656.0509554,172602547.7707006
92,150,56687.89808917197,325605095.5414013,335363057.3248407,351218471.3375796,1963530573.248408,33019745.22292994,536492993.6305732,643312101.910828,643312101.910828,90533757.96178344,1025616560.509554,1119088535.031847,3809090445.859872,3525789171.974522,7835031.847133758,124405095.5414013
93,151,0.0,74037579.61783439,74239490.44585986,52650955.41401274,102215286.6242038,6369.426751592357,57101273.88535032,0.0,5321019.108280255,37733121.01910828,76247133.75796178,114032484.0764331,647661146.4968152,525979617.8343949,36566878.98089172,41949681.52866242
94,152,636.9426751592356,37704458.59872612,43866242.03821656,18810828.02547771,37444585.98726115,63694.26751592357,19605095.54140127,31775159.23566879,31780254.77707006,2154140.127388535,27771337.57961783,29925477.70700637,100021656.0509554,92385350.31847133,-11008917.19745223,-3257961.78343949
95,153,0.0,18138216.56050956,18182802.5477707,48819745.22292993,98834394.9044586,0.0,61507006.36942675,0.0,2531847.133757962,21603184.7133758,30261783.43949044,52978980.89171974,314956687.8980892,313468152.8662421,2135668.789808917,1488535.031847134
96,155,0.0,49405095.54140127,141108280.2547771,82964968.15286624,343337579.6178344,2165605.095541401,-567208917.1974522,781485987.2611464,781485987.2611464,39545859.87261146,228987261.1464968,270168789.8089172,301568789.8089172,271059235.6687898,-269382802.5477707,-14505095.54140127
97,156,0.0,144047133.7579618,509642038.2165605,517659235.6687898,1771928025.477707,6369426.751592357,1957470063.694268,0.0,6236942.675159235,0.0,307436305.732484,317863057.3248407,1799564331.210191,1067075796.178344,659195541.4012738,591014649.6815287
98,160,0.0,57015286.62420382,57015286.62420382,53481528.66242038,131147770.7006369,14012.73885350318,97574522.29299362,0.0,0.0,45287261.14649681,45197452.22929936,90588535.03184712,325535668.7898089,308474522.2929936,9692356.687898088,17061146.49681529
99,162,0.0,22007006.36942675,24004458.59872611,54526114.64968152,283220382.1656051,7006.369426751592,15394904.45859873,0.0,13321019.10828025,1420382.165605095,263954140.1273885,278508917.1974522,559326114.6496814,501271337.5796178,8123566.878980892,39877707.00636943
100,163,0.0,0.0,0.0,2326114.649681529,17001910.82802548,0.0,4055414.012738853,5871337.579617834,5871337.579617834,874522.2929936305,6201273.885350319,7075796.178343949,155776433.1210191,153470700.6369427,1515286.624203822,2305732.484076433
101,165,0.0,9621019.108280256,9623566.878980892,15819108.28025478,45782165.60509554,6369.426751592357,9742675.15923567,0.0,12738.85350318471,13257324.84076433,32333757.96178344,45650318.47133758,157347133.7579618,117872611.4649681,344585.9872611465,-2931210.191082803
102,166,470814012.7388535,333121.0191082802,471232484.0764331,903831847.133758,1828228025.477707,470821656.0509554,886603184.7133758,0.0,15286.62420382166,191082802.5477707,1221162420.382166,1412842038.21656,6853489171.974522,6376316560.509554,240262420.3821656,244094267.5159236
103,168,0.0,2254140.127388535,67756050.95541401,92592356.68789808,395283439.4904459,12738.85350318471,161278343.9490446,140908917.1974522,140908917.1974522,0.0,160851592.3566879,160851592.3566879,974611464.9681528,901366878.9808916,9110828.025477707,28042038.21656051
104,169,112112738.8535032,258017197.4522293,775074522.2929935,666125477.7070063,810291719.7452229,90010191.08280255,697445222.9299363,291082802.5477707,313064331.2101911,167054140.1273885,396687261.1464968,574856687.8980892,1226954777.070064,886149044.5859872,210822929.9363057,237974522.2929936
105,170,0.0,3511464.968152866,3511464.968152866,4832484.076433121,34565605.0955414,6369.426751592357,9781528.66242038,0.0,0.0,22631210.1910828,5664331.210191082,28295541.40127388,148376433.1210191,141590445.8598726,2759235.668789809,5322929.936305732
106,171,0.0,227410828.0254777,249435031.8471338,93058598.72611465,247940127.388535,77070.06369426752,358298089.1719745,0.0,39895541.40127388,0.0,86533757.96178344,99181528.66242038,780948407.6433121,687334394.9044585,84295541.40127388,85098726.11464968
107,172,0.0,1590445.859872611,1590445.859872611,37855414.01273885,66722292.99363057,6369.426751592357,1191082.802547771,36147770.70063694,36147770.70063694,7456687.898089171,23516560.50955414,30973885.35031847,205699363.0573248,197475159.2356688,661146.4968152866,4181528.662420382
108,173,368902547.7707006,2434070700.636942,2905445222.929936,3389873885.350318,7438244585.987261,346462420.3821656,3686563694.267516,1941382165.605095,1993541401.273885,0.0,4096894904.458599,4663584713.375796,18005266242.03822,16796975159.23567,243887898.089172,418512101.910828
109,176,0.0,12452229.29936306,99133121.01910828,80393630.5732484,153112101.910828,44598726.11464968,221326751.5923567,0.0,341401.2738853503,0.0,30200636.94267516,30577070.06369426,405014649.6815286,369524203.821656,3724840.76433121,4081528.662420382
