,Наименование ДП,Нематериальные активы,Основные средства,Внеоборотные активы,Дебиторская задолженность,Оборотные активы,Уставный капитал,Капитал и резервы,Заёмные средства (долгосрочные),Долгосрочные обязательства,Заёмные средства (краткосрочные),Кредиторская задолженность,Краткосрочные обязательства,Выручка,Себестоимость продаж,Прибыль (убыток) до налогообложения,Прибыль (убыток) от продажи,"Макс. ПДЗ за 2020 год, дней"
10,10,237673885.3503185,83178399363.05733,212799396178.344,29891915923.56688,103803100636.9427,5335668.789808917,115053062420.3822,124945420382.1656,132067687898.0892,36728138216.56051,30926922292.99363,69481746496.81528,291457262420.3821,222468184076.4331,76250080891.71974,40146497452.2293,54
11,11,0.0,90912738.85350318,117794267.5159236,11010828.02547771,135982165.6050955,22292.99363057325,35086624.20382165,4076433.121019108,5894267.515923566,145310191.0828025,65691082.80254777,212795541.4012739,424861146.4968153,388774522.2929936,-39412738.85350318,-8559872.611464968,3
12,12,0.0,49246496.81528662,49613375.79617834,328957961.7834395,542397452.2292993,720382.1656050956,184489808.9171974,114649044.5859872,115036305.7324841,27834394.9044586,264650318.4713376,292484713.3757961,637400636.9426751,609470063.6942675,9601910.828025475,27930573.24840764,12
13,13,0.0,212961783.4394904,4960145859.872611,1611080254.77707,2787994904.458599,170700.6369426752,2057504458.598726,0.0,0.0,0.0,5337441401.273885,5690636305.732484,2284331847.133758,1955467515.923567,54171337.57961784,159353503.1847134,5
14,14,85987.2611464968,162071337.5796178,162157324.8407643,250240127.3885351,634580254.77707,396815.2866242038,233616560.5095541,71337579.61783439,71337579.61783439,53843949.04458599,428870063.6942675,491783439.4904459,856344585.987261,654863694.2675159,20189171.97452229,16823566.87898089,0
15,15,1910.828025477707,392966242.0382165,662336305.7324841,300154777.0700637,724329299.3630573,3143312.101910828,350356050.955414,500707643.3121019,513833121.0191082,136235031.8471338,380276433.1210191,522476433.1210191,1467961783.43949,1207708280.254777,51215286.62420382,152399363.0573248,22
16,16,0.0,59908280.25477707,60969426.75159235,20245222.9299363,137031847.1337579,20996815.2866242,119812101.910828,0.0,4692356.687898089,0.0,64491719.74522293,73496815.28662421,498419745.2229299,428728662.4203821,27367515.92356688,27134394.9044586,0
17,17,65605.09554140127,108076433.1210191,109024203.821656,176700636.9426751,876883439.4904459,7850318.471337579,277759235.6687898,222838853.5031847,222892993.6305732,66878.98089171974,474757324.8407643,485255414.0127388,1860641401.273885,1758073885.350318,25660509.55414013,47505095.54140128,0
18,18,5568789.808917197,428924203.8216561,496138216.5605096,106841401.2738853,225033757.9617834,16279617.8343949,135135031.8471338,199000636.9426752,425573885.3503184,10919745.22292994,149347133.7579618,160463057.3248408,714416560.5095541,611747133.7579618,8880254.777070064,21954140.12738853,0
19,19,0.0,186921656.0509554,198677070.0636943,252684713.3757962,1659747133.757962,59261146.49681529,1610463057.324841,0.0,12904458.59872611,0.0,227116560.5095541,235056687.8980892,1075808917.197452,902991719.7452228,50075159.23566879,21192993.63057325,0
20,20,0.0,69588535.03184713,71422929.93630573,61354140.12738853,361984076.433121,10281528.66242038,392345859.8726115,0.0,445222.9299363057,0.0,33902547.77070063,40615923.56687898,405317197.4522293,326584076.433121,2944585.987261146,8830573.248407643,8
21,21,670700.6369426751,46058598.72611465,47052229.29936305,267946496.8152866,560972611.4649681,4408280.25477707,312690445.8598726,88594904.45859872,93203821.65605097,165885987.2611465,36244585.98726115,202130573.2484076,756092356.687898,477057324.8407643,66255414.01273885,65819108.28025477,1
22,22,0.0,18442038.21656051,19712101.91082802,2335668.789808917,7308280.25477707,26114.64968152866,7870700.636942674,4757961.78343949,5476433.121019108,6788535.031847133,6884076.433121019,13672611.46496815,75753503.18471338,8094904.458598725,-126751.5923566879,565605.0955414013,0
23,23,7265605.095541401,1482455414.012739,2813194904.458599,6333068789.808917,17465233121.01911,170904458.5987261,5381937579.617834,56285987.26114649,1459581528.662421,2165592356.687898,11112218471.33758,13436908917.19745,11240819745.22293,6554822292.99363,2777153503.184713,2894612101.910828,14
24,24,138853.5031847134,514985350.3184713,528407006.3694267,610864331.210191,1691128025.477707,818471.3375796179,1070042038.21656,0.0,66025477.70700637,261429936.3057325,799222929.9363056,1083467515.923567,4339277707.00637,3638257324.840764,44974522.29299363,120354140.1273885,1
25,25,119108.2802547771,15923998089.17197,73191882802.54778,13282056050.95541,44949464331.21019,1133757.961783439,98003023566.87898,15301485987.26115,15573978343.94904,1016560.50955414,3762024840.764331,4564345222.929936,72907359872.61147,27233557324.84076,35860153503.18472,36943642675.15923,1
26,26,0.0,8779617.834394904,8779617.834394904,4194267.515923567,23426114.64968153,12738.85350318471,12628025.47770701,0.0,0.0,0.0,19577707.00636943,19577707.00636943,336028025.477707,333143949.044586,2649681.52866242,2884076.433121019,0
27,27,19745.2229299363,1944550318.471338,4000253503.184713,62764245859.87261,85634350955.41402,436273248.4076433,-2463800000.0,9554215923.56688,13316130573.24841,625092356.687898,77774445859.8726,78782273885.35031,13155603821.65605,17101614012.73885,-5046286624.203821,-3946010191.082802,0
28,28,1087666242.038217,105590338216.5605,213055296815.2867,69882727388.53503,129099961783.4395,3817342038.21656,190937816560.5096,67327288535.03185,74481664331.21019,19367008280.25478,55094256050.95541,76735777707.00636,268672815923.5669,201329345222.93,61017808280.25478,38626118471.33758,363
29,29,77709554.14012739,5068259235.66879,5479360509.55414,784470700.6369426,2662221656.050956,70700.63694267516,6102143949.044586,0.0,769213375.7961783,0.0,1020098089.171974,1270224840.764331,14563691082.80255,6837770700.636943,6949132484.076433,7073461783.43949,7
30,30,740854777.0700637,109777485987.2611,126844375796.1783,18904169426.75159,32781819108.28025,2398089.171974522,89179933757.96178,22261891082.80255,27230198089.17197,29283731210.19108,13056510191.0828,43216063057.32484,137648414012.7389,84806590445.85986,31233348407.64331,31627575159.23567,12
31,31,3884713.375796177,3395414012.738853,3796146496.815287,354689171.9745223,1250909554.140127,144823566.8789809,2906191719.745223,1616645859.872611,1762168152.866242,8321019.108280255,291142038.2165605,378696178.343949,5453705095.541401,2333416560.509554,2852752229.299363,2704843949.044586,13
32,32,18471.33757961784,110529936.3057325,110548407.6433121,73785350.31847133,236871974.522293,94904.45859872612,201892356.6878981,25477707.00636943,25477707.00636943,76972611.46496814,43077707.00636943,120050318.4713376,416114012.7388535,298197452.2292994,48078343.94904459,65356050.95541401,17
33,33,0.0,79736942.67515923,80787261.14649682,23412738.85350318,103608280.2547771,65605.09554140127,143429936.3057325,0.0,4513375.796178344,0.0,31582165.60509554,36452229.29936305,307186624.2038217,295631210.1910828,7629299.363057325,10136942.67515924,30
34,34,565605.0955414013,713812738.8535031,924385987.2611464,788371337.5796179,1677626751.592357,71337579.61783439,17156687.89808917,39351592.3566879,246130573.2484076,1193177707.006369,1059898089.171974,2338725477.707006,1488781528.662421,1054981528.66242,36868152.86624204,138578980.8917197,17
35,35,259235.6687898089,164794267.5159236,169332484.0764331,183108280.2547771,418364968.1528662,5814012.738853503,215386624.2038217,0.0,2243949.044585987,77747133.75796178,283474522.2929936,370066878.9808917,787782802.5477706,540523566.8789809,50054777.0700637,72358598.72611465,0
36,36,0.0,168154777.0700637,187691082.8025477,166245222.9299363,916549044.5859872,210914649.6815286,936160509.55414,0.0,6159872.611464968,0.0,128860509.5541401,161919745.2229299,1508480891.719745,1144273248.407643,328539490.4458598,318099363.0573248,0
37,37,980891.719745223,648532484.0764331,1662570700.636943,364648407.6433121,5704143312.101911,181110828.0254777,-2497998726.11465,2938853503.184713,3839707643.312102,2921884713.375796,2590175159.235669,6025005095.541401,4639936942.675159,4284073885.350318,-976801273.8853502,-232275159.2356688,2
38,38,47496178.34394904,732549044.5859872,1082319108.280255,202457324.8407643,518901910.8280255,1603184.713375796,512821656.0509554,610729299.3630573,802043312.1019108,0.0,281225477.7070063,286356050.955414,2101010828.025478,1619789808.917198,188414012.7388535,294408917.1974522,5
39,39,0.0,210656050.955414,337591082.8025477,992092356.687898,1867394904.458598,78343.94904458598,1314861146.496815,0.0,0.0,358787898.0891719,529714649.6815286,890124840.7643312,2159308917.197452,1966366242.038217,122119745.2229299,150001910.8280255,23
40,40,0.0,25912101.91082802,39722929.93630573,262850955.4140128,639392356.687898,6412101.910828025,596994267.5159235,0.0,0.0,0.0,82121019.10828026,82121019.10828026,481183439.4904459,465874522.2929936,-4222929.936305732,32484.07643312102,3
41,41,21019.10828025477,615731847.133758,1953777070.063694,1488861146.496815,3653914012.738853,2547914649.681529,434198089.1719745,268789808.9171975,650186624.2038217,2750021656.050956,1673961146.496815,4523306369.426751,3221313375.796178,2960638216.560509,40942038.21656051,-111411464.9681529,0
42,42,0.0,681286624.2038217,1759696178.343949,2114657324.840764,8552907006.369427,24126114.64968153,924400000.0,0.0,731019108.2802547,3464219108.280255,4393524203.821656,8657184076.43312,10084513375.79618,9656210191.082802,-311028025.477707,136798089.1719745,0
43,43,320980254.77707,7257622929.936305,24051731847.13376,32139380891.71975,63210929936.30573,22483984076.43312,990812101.910828,0.0,2031764331.210191,60790445.85987261,54199264331.21019,84240085350.31847,25322910828.02548,27573371974.52229,-14828091082.80255,-5564791719.745223,3
44,44,0.0,54534394.9044586,54534394.9044586,25740127.38853503,100778980.8917197,21719745.22292994,117493630.5732484,24196178.34394904,24196178.34394904,0.0,5079617.834394904,13623566.87898089,414464331.2101911,334848407.6433121,48671337.57961784,51938853.50318471,1
45,45,466864331.2101911,83367462420.38216,93892157961.78345,3981950955.414013,5853307006.369427,91842675.15923569,82239984076.43312,10782043949.04459,12440570063.69427,15596815.2866242,4590614649.681528,5064910828.025477,17254775796.17834,15466775159.23567,3861665605.095541,1092087261.146497,25
46,46,3598089.171974522,14810321656.05096,16872326114.64968,1533441401.273885,5348564968.152866,2232484.076433121,11937667515.92357,0.0,7207642675.159235,12101.91082802548,2587301910.828025,3075580891.719745,21847791719.74522,15663200000.0,103996178.343949,4533600636.942675,0
47,47,0.0,691885350.3184713,709852229.299363,727901910.8280255,1639028662.420382,9568789.808917196,2104553503.184713,0.0,18253503.18471337,0.0,194293630.5732484,226073885.3503185,1917192993.630573,1201806369.426752,360609554.1401274,391167515.9235669,12
48,48,1273.885350318471,852494267.5159235,1527770700.636943,7466464968.152866,11456728662.42038,624840.7643312102,1633794267.515924,2433445222.929936,3068542038.21656,354863694.2675159,7860082165.605095,8282163057.324841,7267658598.726114,5797979617.834394,150203184.7133758,684874522.2929935,309
49,49,0.0,1478232484.076433,2460121656.050956,3061780891.719745,9281899363.057323,55203821.65605095,4583571974.522293,0.0,434215923.566879,2993630573.248407,3162541401.273885,6724233121.019108,12244978343.94904,10797797452.2293,366785350.3184713,758647133.7579618,18
50,50,10191.08280254777,153161146.4968153,162196178.343949,138274522.2929936,273574522.2929936,42985350.31847133,227181528.6624204,46639490.44585987,61981528.66242038,44343949.04458599,90667515.92356688,146607643.3121019,858737579.6178343,649022292.9936305,32452866.24203822,47147770.70063694,0
51,51,21517834.39490446,8802056687.898088,9958890445.859873,452845859.8726115,38085909554.14013,698089.1719745223,29835991082.80255,3537579.617834395,299536305.732484,12218601273.88535,5338248407.643312,17909272611.46497,49110786624.20382,18562091719.74522,30578936305.73248,29224504458.59872,42
52,52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12
53,53,19745.2229299363,1411301273.88535,1901012101.910828,10214115286.6242,16087745222.92994,47770.70063694267,-1198700000.0,4318382802.547771,10615998726.11465,4162259872.611465,4068375796.178344,8571458598.726114,4770340127.388535,5039119745.22293,-516469426.7515923,-274538853.5031847,0
54,54,4458.598726114649,2101450955.414013,2416661146.496815,9048068789.808916,48270628662.42038,271337.5796178344,818845859.8726114,533526114.6496815,20522205095.5414,2736580254.77707,25985433121.01911,29346238853.50319,5943995541.401274,7883607006.369427,-2158080891.719745,-1939611464.968153,165
55,55,0.0,3705095.541401274,3705095.541401274,2218471.337579618,37866878.98089172,318471.3375796178,21222929.93630573,0.0,0.0,10021019.10828026,10328025.47770701,20349044.58598726,158581528.6624204,143437579.6178344,147770.7006369427,1453503.184713376,5
56,56,0.0,69447770.70063694,241369426.7515924,141789808.9171974,226758598.7261146,6369426.751592357,376443312.1019108,27650318.47133758,34654777.0700637,3821.656050955414,52191082.80254777,57029936.30573248,698034394.9044585,564246496.8152866,35001273.88535032,49529299.36305732,4
57,57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
58,58,0.0,97452.22929936304,97452.22929936304,561783.4394904459,669426.7515923567,0.0,-349681.5286624203,0.0,0.0,1073248.407643312,43312.10191082802,1116560.50955414,16410191.08280255,16391719.74522293,1273.885350318471,18471.33757961784,0
59,59,9554.140127388537,74985350.31847133,75166242.03821656,131816560.5095541,555176433.1210191,4837579.617834395,407057961.7834395,0.0,34596178.34394904,955414.0127388536,187733121.0191083,188688535.0318471,1798047133.757962,1641109554.140127,7723566.878980892,18222292.99363057,14
60,60,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28
61,61,11464.96815286624,7850396178.343948,10922077707.00637,22391403184.71337,87487159872.61147,195541.4012738853,496070700.6369427,3221526114.649682,82673901273.88535,1235153503.184713,13012299363.05732,15239265605.09554,13208016560.50955,12689282165.6051,1442675.159235669,518734394.9044586,28
62,62,2396407643.312102,32451718471.33758,65098678980.89172,37011705095.5414,77867638853.50319,41469185987.26115,44468833757.96178,42198080891.71974,48277734394.90446,10882642038.21656,37995881528.66242,50219749681.52866,52078571337.57961,44414024840.76433,2008357961.78344,3324689808.917197,0
63,63,3036342038.21656,958427224840.7644,1056972298726.115,32462150318.47134,198594451592.3567,528844569426.7516,1111498938216.56,5220108917.197452,79561909554.14012,8717440127.388535,48729707643.3121,64505902547.7707,290899811464.9681,157698430573.2484,85661663694.26752,93126215286.6242,7
64,64,0.0,26157961.78343949,30187898.08917197,93255414.01273884,317266878.9808917,2547.770700636942,29436942.67515923,19852229.29936305,19858598.72611465,203035031.8471338,95124203.82165603,298159235.6687898,1135922292.99363,1035463057.324841,5994904.458598725,24754777.07006369,5
65,65,23578343.94904459,12559147770.70064,18354231847.13376,30750058598.72611,112223411464.9682,10110287261.1465,18793737579.61783,5469090445.859873,62765397452.22929,4322284713.375796,43131494904.4586,49018508280.25478,29163844585.98726,27449539490.44585,624743312.1019108,1681571974.522293,6
66,66,31210.19108280255,2842620382.165605,3776824840.764331,1664439490.44586,10638861146.49682,511464.9681528662,-1446223566.878981,1865590445.859873,10315212101.91083,2195603821.656051,3036427388.535032,5546697452.2293,3214170063.694268,3839222292.99363,-1310971974.522293,-625052229.299363,78
67,67,83439.49044585988,16721170063.69427,28934403184.71337,90285916560.50957,375316193630.5733,10781616560.50955,41494833121.0191,0.0,301299969426.7516,0.0,53482090445.85987,61455794267.51592,74563149681.52866,73755322929.93631,4095157961.783439,807826751.5923567,0
68,68,1552229.299363057,1612022929.936306,1674792993.630573,813161146.4968152,4452570700.636943,21398726.11464968,-43211464.96815287,0.0,594417197.4522293,1414621656.050955,4133846496.815287,5576157961.78344,1602512101.910828,1318856050.955414,22285987.2611465,173674522.2929936,73
69,69,0.0,0.0,754140.127388535,16482802.5477707,152235668.7898089,19108280.25477707,149491719.7452229,0.0,335668.7898089172,51592.35668789809,3110191.082802548,3161783.439490446,0.0,0.0,1907006.369426752,-108917.1974522293,0
70,70,1043949.044585987,1146110828.025478,3575088535.031847,7414213375.796178,18557082165.60509,7198089.171974522,8571849681.528662,0.0,96043312.10191084,0.0,13464277707.00637,13464277707.00637,23443327388.53503,22863530573.24841,338308280.2547771,579796815.2866242,34
71,71,17974522.29299363,652509554.1401274,859454777.0700637,2609765605.095541,6925815286.624204,259677707.0063694,1428801273.88535,0.0,52356687.89808917,17096815.2866242,6219278343.949044,6304112101.910828,25923780254.77707,24806050318.47134,-119252229.299363,-278571974.522293,3
72,72,0.0,117231210.1910828,163547770.7006369,264760509.5541401,556149044.5859872,50955.41401273885,250896178.343949,134442038.2165605,134442038.2165605,124906369.4267516,144561146.4968153,334358598.7261146,977779617.8343948,855840764.3312101,34308280.25477707,37356050.95541401,67
73,73,0.0,515923.5668789809,13963694.26751592,42385350.31847133,200654777.0700637,6369.426751592357,20059235.66878981,0.0,0.0,12845222.9299363,181656050.955414,194559235.6687898,187415286.6242038,158093630.5732484,3057961.78343949,3163694.267515924,6
74,74,0.0,159258598.7261146,159400000.0,60727388.53503185,308699363.0573248,4084076.433121019,275411464.9681529,81938216.56050955,81938216.56050955,4704458.598726114,105987898.089172,110749681.5286624,372086624.2038217,353993630.5732484,3442675.159235669,2377070.063694268,0
75,75,37177707.00636943,818569426.7515923,1846902547.7707,2468433121.019108,5403572611.464968,31847133.75796178,5680089808.917197,0.0,44854140.12738854,245810191.0828025,1245415286.624204,1525531210.191083,11267628025.47771,6878654777.070064,2049187898.089172,2074908917.197452,8
76,76,9837579.617834397,825256050.9554139,1022517834.394904,429419108.2802548,1280463694.267516,6369.426751592357,2044035668.789809,0.0,34464968.15286624,0.0,224480891.7197452,224480891.7197452,2438454140.127388,1920744585.987261,132690445.8598726,107233121.0191083,12
77,77,3282802.5477707,4410605732.484076,4954609554.140127,1179942675.159236,2762040127.388535,257452229.299363,6152143949.044586,0.0,290913375.7961783,0.0,1208349044.585987,1273592356.687898,8375794904.458598,7127007006.369427,584037579.6178343,597452866.2420382,4
78,78,41401.27388535032,281377707.0063694,376612738.8535032,1575643949.044586,2017207006.369427,185414012.7388535,348269426.7515923,508456050.955414,515005732.4840765,76212101.91082802,1447456687.898089,1530544585.987261,3619032484.076433,3528735031.847134,244512101.910828,56442675.15923566,16
79,79,450955.4140127389,2424663057.324841,2533359235.66879,2255790445.859872,3048698089.171974,979530573.2484076,4507063694.267516,0.0,105500000.0,214755414.0127389,655999363.0573248,969493630.5732484,16110693630.57325,14584982165.6051,610201910.8280255,589951592.3566879,0
80,80,635031.8471337579,479896815.2866242,486721656.0509554,415914649.6815286,1230747133.757962,20994267.51592357,853178343.9490446,514150318.4713376,523887898.089172,169077070.0636943,171325477.7070064,340402547.7707006,2199874522.292993,1872435031.847134,74197452.22929937,145187898.089172,0
81,81,0.0,87657324.84076433,88636305.73248407,53694267.51592357,160552229.299363,19108.28025477707,178806369.4267516,8960509.554140126,17498089.17197452,0.0,46124203.82165605,52884076.43312102,409529936.3057325,400868789.8089172,-38205732.48407643,-16529299.36305732,14
82,82,0.0,30518471.33757961,31338853.50318472,7764331.210191082,100603184.7133758,1592356.687898089,24552866.24203822,54025477.70700637,54025477.70700637,4118471.337579618,46961783.43949044,53363694.26751592,263137579.6178344,228563694.267516,1070063.694267516,4752229.299363057,44
83,83,0.0,70361783.43949044,71892993.63057324,38229936.30573248,110737579.6178344,6369.426751592357,11333121.01910828,102394904.4585987,103806369.4267516,11082802.5477707,56408280.25477707,67491082.80254777,433192993.6305732,388117834.3949044,6186624.203821655,19589808.91719745,3
84,84,8820049044.585987,227585862420.3822,476193439490.4459,136245812101.9108,340814407006.3694,100792993.6305732,222086108917.1974,336050343312.1019,362363974522.293,114479791082.8025,108606753503.1847,232557763057.3248,559327575159.2356,185924177707.0063,398315826114.6497,342085019108.2802,18
85,85,0.0,154051592.3566879,155066242.0382166,480954777.0700637,880819745.22293,6369426.751592357,677103184.7133758,23035031.84713376,23317834.39490446,61200636.94267516,264275159.2356688,335464968.1528662,2090230573.248408,1808095541.401273,141611464.9681529,219954140.1273885,0
86,86,0.0,8693630.573248407,8693630.573248407,10043949.04458599,22275796.17834395,108280.2547770701,22643949.04458599,0.0,0.0,4794267.515923567,3531210.191082803,8325477.707006369,16934394.9044586,20066878.98089172,-1750318.47133758,-3132484.076433121,12
87,87,0.0,3452866.242038216,3452866.242038216,479515923.566879,689722929.9363058,266242.0382165605,47191082.80254777,1596815.286624204,3750955.414012739,1396178.343949045,640837579.6178343,642233757.9617834,1866258598.726115,1657284713.375796,5183439.49044586,11687261.14649682,0
88,88,1261783.439490446,9414731210.191082,11173345222.92994,3043700000.0,11375396178.34395,1202662420.382166,18212929299.36306,0.0,1091622292.993631,0.0,2816288535.031847,3244189808.917197,10422535668.78981,6681923566.878981,1988716560.509554,2784455414.012739,0
89,89,185642675.1592357,22833121.01910828,432747770.7006369,2282024203.821656,2675511464.968153,12738.85350318471,1188849044.585987,12025477.70700637,12278343.94904458,851435668.7898089,1016687261.146497,1907131847.133758,5071382165.605095,4398070063.694267,40261783.43949044,13578980.89171974,27
90,90,0.0,743949.0445859872,3314649.681528662,140282165.6050955,391250955.4140127,12738.85350318471,61710191.08280255,0.0,31847.13375796178,68595541.40127388,263997452.2292994,332822929.9363057,817045222.9299363,792447770.7006369,1305732.484076433,548407.6433121018,6
91,91,0.0,18052866.24203822,18345859.87261146,10540127.38853503,61267515.92356688,6369.426751592357,55466878.98089172,0.0,3001273.885350318,10015923.56687898,10717197.4522293,21145222.9299363,182324840.7643312,159792993.6305732,4935668.789808917,4317834.394904458,203
92,92,0.0,525459235.6687898,598800636.9426751,316796178.343949,1344484713.375796,894132484.0764331,1342746496.815287,0.0,52524203.82165605,0.0,441717834.3949044,548014649.6815287,4236678343.949044,3119830573.248407,214889171.9745223,235942675.1592357,5
93,93,0.0,287898.0891719745,461783.4394904458,11536942.67515924,73903184.71337579,6369.426751592357,36241401.27388535,0.0,0.0,23566878.98089172,14556687.89808917,38123566.87898089,232897452.2292994,204268789.8089172,6156687.898089171,7682802.5477707,0
94,94,0.0,152064331.2101911,183198726.1146497,315633757.9617834,651128662.4203821,2864968.152866242,188733757.9617834,0.0,8080891.719745222,0.0,610900636.9426751,637512738.8535031,1932391082.802548,1807428662.420382,5139490.445859873,21132484.07643312,11
95,95,0.0,21784076.43312101,21784076.43312101,28079617.83439491,70784076.43312101,63694.26751592357,22847770.70063695,51592356.68789808,51592356.68789808,742038.2165605095,17385987.2611465,18128025.47770701,249984076.433121,215408917.1974522,771974.5222929936,9961146.496815288,25
96,96,0.0,25207006.36942675,25219745.22292994,22731210.1910828,68344585.98726115,9554.140127388537,42925477.70700637,0.0,180891.7197452229,0.0,50457961.78343949,50457961.78343949,126626114.6496815,112945859.8726115,3305732.484076433,6529936.305732484,11
97,97,361087261.1464968,43301365605.09554,44768801910.82803,34244653503.18471,135052728025.4777,2547770.700636942,343859872.611465,0.0,9631648407.643312,38471337579.61784,129870127388.535,169846021656.0509,134195259872.6115,128314487898.0892,-6969161146.496815,2203007643.312102,17
98,98,0.0,219228025.477707,219228025.477707,155689808.9171974,592824203.821656,15445859.87261146,752196178.343949,0.0,0.0,0.0,59856050.95541401,59856050.95541401,945782165.6050956,781275796.1783439,18420382.16560509,44787898.08917198,0
99,99,0.0,31081528.66242038,31393630.57324841,71835031.84713376,117806369.4267516,3184713.375796178,18312738.85350318,38717197.4522293,38717197.4522293,29107006.36942675,63063057.32484076,92170063.69426753,307521656.0509554,287549044.5859873,2057324.840764331,15240127.38853503,0
100,100,0.0,17477707.00636943,17477707.00636943,22510828.02547771,196147770.7006369,440127.3885350318,123187261.1464968,0.0,0.0,70063694.26751593,20374522.29299363,90438216.56050956,556468789.8089172,466519108.2802548,9210191.082802547,9510191.082802547,0
101,101,0.0,7412738.853503184,7933757.961783439,77395541.40127388,272821656.0509554,22929.93630573248,13538216.56050955,0.0,0.0,63522292.99363057,201814012.7388535,267217197.4522293,545478343.9490446,537353503.1847134,4400000.0,8124840.764331209,56
102,102,0.0,133210828.0254777,135056050.955414,440254777.0700637,1711168789.808917,19159235.66878981,484535031.8471338,0.0,7112738.853503184,0.0,1354577070.063694,1354577070.063694,2456955414.012739,2254936305.732484,100836305.7324841,159933121.0191083,0
103,103,59361146.49681529,1726300000.0,3534645859.872612,9753332484.076431,14167580891.71974,259872611.4649681,838277707.0063694,0.0,62000000.0,3905238853.503185,12123987898.08917,16801949044.58599,8483122929.936305,7573252229.299363,-137282802.5477707,205307006.3694268,42
104,104,10828.02547770701,566485350.3184713,727353503.1847134,88010828.0254777,459745859.8726115,640127.3885350318,756232484.0764331,0.0,24249044.58598726,308757961.7834395,89463694.26751591,406617834.3949044,1663326114.649682,1449164968.152866,68279617.8343949,91077707.00636944,16
105,105,0.0,219287898.089172,240397452.2292994,21778980.89171974,162340764.3312102,303458598.7261146,49954140.12738853,0.0,3566878.980891719,0.0,309238216.5605096,349217834.3949044,1000600636.942675,878064968.1528662,58559235.66878981,121996815.2866242,0
106,106,0.0,668152.8662420382,765605.0955414013,4738853.503184713,6194267.515923566,978343.949044586,3999363.057324841,0.0,440127.3885350318,0.0,2521019.108280255,2521019.108280255,23636305.73248408,24451592.3566879,-1695541.401273885,-815286.6242038216,21
