,Наименование ДП,"2018, Нематериальные активы","2019, Нематериальные активы","2020, Нематериальные активы","2018, Основные средства ","2019, Основные средства ","2020, Основные средства ","2018, Внеоборотные активы","2019, Внеоборотные активы","2020, Внеоборотные активы","2018, Дебиторская задолженность","2019, Дебиторская задолженность","2020, Дебиторская задолженность","2018, Оборотные активы","2019, Оборотные активы","2020, Оборотные активы","2018, Уставный капитал ","2019, Уставный капитал ","2020, Уставный капитал ","2018, Капитал и резервы","2019, Капитал и резервы","2020, Капитал и резервы","2018, Заёмные средства (долгосрочные)","2019, Заёмные средства (долгосрочные)","2020, Заёмные средства (долгосрочные)","2018, Долгосрочные обязательства","2019, Долгосрочные обязательства","2020, Долгосрочные обязательства","2018, Заёмные средства (краткосрочные)","2019, Заёмные средства (краткосрочные)","2020, Заёмные средства (краткосрочные)","2018, Кредиторская задолженность","2019, Кредиторская задолженность","2020, Кредиторская задолженность","2018, Краткосрочные обязательства","2019, Краткосрочные обязательства","2020, Краткосрочные обязательства","2018, Выручка","2019, Выручка","2020, Выручка","2018, Себестоимость продаж","2019, Себестоимость продаж","2020, Себестоимость продаж","2018, Прибыль (убыток) до налогообложения ","2019, Прибыль (убыток) до налогообложения ","2020, Прибыль (убыток) до налогообложения ","2018, Прибыль (убыток) от продажи","2019, Прибыль (убыток) от продажи","2020, Прибыль (убыток) от продажи"
10,14,106369.4267515924,85987.2611464968,65605.09554140127,188259235.6687898,162071337.5796178,219077070.0636943,188365605.0955414,162157324.8407643,219142675.1592357,202740127.388535,250240127.388535,204323566.8789809,509375159.2356688,634580254.77707,596506369.4267516,396815.2866242038,396815.2866242038,396815.2866242038,28919108.28025478,233616560.5095541,403301910.8280255,86624203.82165605,71337579.61783439,63694267.51592357,86624203.82165605,71337579.61783439,63694267.51592357,43819108.28025477,53843949.04458599,51110191.08280255,537719745.22293,428870063.6942675,262489808.9171974,582197452.2292993,491783439.4904459,348653503.1847134,924578343.9490446,856344585.987261,796622929.9363056,701822292.9936305,654863694.2675159,593496815.2866242,17281528.66242038,20189171.97452229,17421656.05095541,27756050.95541401,16823566.87898089,18495541.40127388
11,17,0.0,65605.09554140127,95541.40127388536,100944585.9872611,108076433.1210191,113508280.2547771,105085350.3184713,109024203.821656,114828662.4203822,232242038.2165605,176700636.9426751,313897452.2292994,853603821.6560509,876883439.4904459,866601910.8280255,7850318.471337579,7850318.471337579,7850318.471337579,257490445.8598726,277759235.6687898,292817197.4522293,237668789.8089172,222838853.5031847,192356687.8980892,237826114.6496815,222892993.6305732,192610191.0828025,1836942.675159235,66878.98089171974,0.0,451511464.9681528,474757324.8407643,486892993.6305732,463372611.4649681,485255414.0127388,496002547.7707006,1653594904.458599,1860641401.273885,1449078343.949044,1561664331.210191,1758073885.350318,1369619745.22293,10961783.43949044,25660509.55414013,19023566.87898089,36605095.54140127,47505095.54140127,31949681.52866242
12,19,0.0,0.0,0.0,195112101.910828,186921656.0509554,169560509.5541401,212864968.1528662,198677070.0636943,180344585.9872611,295180254.77707,252684713.3757962,172121019.1082802,1533670700.636943,1659747133.757962,1679815923.566879,59261146.49681529,59261146.49681529,59261146.49681529,1573436942.675159,1610463057.324841,1639331210.191083,0.0,0.0,0.0,11632484.07643312,12904458.59872611,12340764.33121019,0.0,0.0,0.0,152475796.178344,227116560.5095541,199959872.6114649,161466878.9808917,235056687.8980892,208488535.0318471,1768051592.356688,1075808917.197452,1096045859.872612,1436126751.592357,902991719.7452228,933667515.9235668,123406369.4267516,50075159.23566879,38816560.50955414,148417834.3949045,21192993.63057325,26399363.05732484
13,20,636.9426751592356,0.0,0.0,78512738.85350318,69588535.03184713,69506369.42675158,80104458.59872611,71422929.93630573,71589171.9745223,66347770.70063694,61354140.12738853,63627388.53503185,354992356.6878981,361984076.433121,377774522.2929936,10281528.66242038,10281528.66242038,10281528.66242038,398322929.9363057,392345859.8726115,401360509.5541401,0.0,0.0,0.0,410828.025477707,445222.9299363057,8556050.955414012,0.0,0.0,0.0,30474522.29299363,33902547.77070063,31740127.38853503,36363057.32484076,40615923.56687898,39446496.81528662,412656050.955414,405317197.4522293,491098089.1719745,352445222.9299363,326584076.433121,384421656.0509554,2056687.898089172,2944585.987261146,22975159.23566879,-8398726.114649681,8830573.248407643,30884713.37579618
14,21,756687.898089172,670700.6369426751,584713.3757961784,33210828.02547771,46058598.72611465,120577070.0636943,33997452.22929936,47052229.29936305,123277707.0063694,290073885.3503184,267946496.8152866,235228025.477707,490794267.5159236,560972611.4649681,553989808.9171975,4408280.25477707,4408280.25477707,4408280.25477707,284505095.5414013,312690445.8598726,350938216.5605096,0.0,88594904.45859872,94018471.3375796,2033757.961783439,93203821.65605097,101966242.0382166,62719745.22292993,165885987.2611465,123989808.9171975,175533121.0191083,36244585.98726115,92821019.10828026,238252866.2420382,202130573.2484076,224363057.3248408,1066617197.452229,756092356.687898,797847133.7579618,478896815.2866242,477057324.8407643,526808280.2547771,239212101.910828,66255414.01273885,90661783.43949044,244385987.2611465,65819108.28025477,83267515.92356688
15,23,16615286.62420382,7265605.095541401,3305095.541401274,1557542038.21656,1482455414.012739,1591067515.923567,2799251592.356688,2813194904.458599,2635228025.477707,6017112101.910828,6333068789.808917,6770586624.203821,16297405732.48408,17465233121.01911,18393434394.90446,170904458.5987261,170904458.5987261,170904458.5987261,4317828662.420382,5381937579.617834,6446147770.700637,539292356.687898,56285987.26114649,100977070.0636943,1643989808.917197,1459581528.66242,2080898089.171974,3133234394.904459,2165592356.687898,2394853503.184713,9870810828.025476,11112218471.33758,9821964968.152866,13134838853.50318,13436908917.19745,12501616560.50955,8294041401.273885,11240819745.22293,12014494904.4586,5213312101.910828,6554822292.99363,8524163057.324841,1194026751.592357,2777153503.184713,3134768789.808917,1405012738.853503,2894612101.910828,3278254777.070064
16,25,103821.6560509554,119108.2802547771,659872.6114649682,15295532484.07643,15923998089.17197,17153550318.47134,76652382802.54778,73191882802.54778,47143434394.90446,10251742675.15924,13282056050.95541,14214786624.20382,29287037579.61783,44949464331.21019,18507792356.6879,1133757.961783439,1133757.961783439,1133757.961783439,69778396178.34395,98003023566.87898,25234484076.43312,29198203821.65605,15301485987.26115,32109789808.91719,29730873248.40764,15573978343.94904,32619758598.72611,16894904.45859873,1016560.50955414,6969426.751592357,5722024203.821656,3762024840.764331,7117378343.949044,6430150955.414013,4564345222.929936,7796984076.433121,64917449681.52866,72907359872.61147,72189845222.92993,23935845859.87261,27233557324.84076,29150280891.71975,30015670700.63694,35860153503.18472,32992742675.15923,31475571974.52229,36943642675.15923,35081485987.26115
17,26,0.0,0.0,0.0,8225477.707006369,8779617.834394904,5645222.929936306,8548407.643312102,8779617.834394904,5645222.929936306,7364331.210191082,4194267.515923567,6623566.878980892,26619108.28025478,23426114.64968153,42572611.46496815,12738.85350318471,12738.85350318471,12738.85350318471,10512738.85350318,12628025.47770701,14221019.10828025,0.0,0.0,0.0,0.0,0.0,0.0,1618471.337579618,0.0,13371337.57961783,23036305.73248408,19577707.00636943,20625477.70700637,24654777.07006369,19577707.00636943,33996815.2866242,338724840.7643312,336028025.477707,289947770.7006369,337096178.343949,333143949.044586,287578343.9490446,571337.5796178344,2649681.52866242,1689808.917197452,1628662.420382166,2884076.433121019,2369426.751592357
18,27,23566.87898089172,19745.22292993631,15923.56687898089,2015802547.7707,1944550318.471338,1951488535.031847,3065973885.350318,4000253503.184713,4809310191.082803,54334001273.88535,62764245859.87261,54188229936.30573,78130149681.52866,85634350955.41402,67069400636.94267,436273248.4076433,436273248.4076433,436273248.4076433,895540764.3312101,-2463800000.0,-6188092993.630573,9359010191.082802,9554215923.56688,8287259235.66879,47630438853.50318,13316130573.24841,20143924840.76433,0.0,625092356.687898,6209554.140127388,32405974522.29299,77774445859.8726,56009321019.10828,32670143949.04459,78782273885.35031,57922878980.89172,16295731210.19108,13155603821.65605,12057194267.51592,16695137579.61783,17101614012.73885,17512372611.46497,-742945859.8726114,-5046286624.203821,-6248458598.726114,-399406369.4267516,-3946010191.082802,-5455178343.949044
19,28,1061146496.815287,1087666242.038217,892619108.2802547,88735031847.13376,105590338216.5605,122761926114.6497,208668152866.242,213055296815.2866,238607668789.8089,80466878980.89172,69882727388.53503,50007874522.29299,159768152866.242,129099961783.4395,124130731210.1911,3817197452.229299,3817342038.21656,3817342038.21656,214080891719.7452,190937816560.5096,162890673885.3503,53545859872.61147,67327288535.03185,97320643312.10191,60552229299.36305,74481664331.21019,104999898089.172,13900636942.67516,19367008280.25478,27972515923.56688,75387261146.49681,55094256050.95541,63901822292.99363,93803184713.3758,76735777707.00636,94847828025.4777,314540764331.2102,268672815923.5669,278394335031.8471,211112738853.5032,201329345222.9299,207557710828.0255,86884076433.12102,61017808280.25478,42743128025.47771,72423566878.9809,38626118471.33758,37857091719.74522
20,31,636942.6751592356,3884713.375796178,2370063.694267516,3014649681.528662,3395414012.738853,3903900000.0,3571974522.292994,3796146496.815287,12472236305.73248,386624203.821656,354689171.9745223,563785350.3184713,818471337.5796179,1250909554.140127,914012738.8535032,144585987.2611465,144823566.8789809,144823566.8789809,2666878980.89172,2906191719.745223,988393630.5732484,1371974522.292994,1616645859.872611,3764366878.980892,1500636942.675159,1762168152.866242,3934354140.127388,3184713.375796178,8321019.108280255,0.0,133757961.7834395,291142038.2165605,8383695541.401274,222929936.3057325,378696178.343949,8463501273.88535,4520382165.605095,5453705095.541401,4850821656.050955,2330573248.407643,2333416560.509554,2209019745.22293,2422292993.630573,2852752229.299363,1861971337.579618,1847133757.961783,2704843949.044586,2219624203.821656
21,32,21019.10828025478,18471.33757961783,16560.50955414013,118533121.0191083,110529936.3057325,103652866.2420382,118554140.1273885,110548407.6433121,103669426.7515924,108525477.7070064,73785350.31847133,102306369.4267516,210664968.1528662,236871974.522293,240391719.7452229,94904.45859872612,94904.45859872612,94904.45859872612,160701273.8853503,201892356.6878981,199664968.1528662,66242038.21656051,25477707.00636943,25477707.00636943,66242038.21656051,25477707.00636943,25477707.00636943,66373248.40764331,76972611.46496814,80735668.78980891,35902547.77070063,43077707.00636943,38182802.5477707,102275796.178344,120050318.4713376,118918471.3375796,422970063.6942675,416114012.7388535,422871974.522293,317154140.1273885,298197452.2292994,291028662.4203821,36421019.10828026,48078343.94904459,79032484.07643312,51735031.84713376,65356050.95541401,83334394.9044586
22,33,0.0,0.0,40764.33121019108,83270700.63694267,79736942.67515923,96082165.60509554,84214649.68152866,80787261.14649682,107110828.0254777,22495541.40127388,23412738.85350318,12841401.27388535,90486624.20382166,103608280.2547771,94310828.0254777,65605.09554140127,65605.09554140127,65605.09554140127,140836305.7324841,143429936.3057325,151512101.910828,0.0,0.0,0.0,4342038.216560509,4513375.796178344,4187898.089171974,0.0,0.0,0.0,25432484.07643312,31582165.60509554,40697452.22929936,29522929.93630573,36452229.29936305,45721019.10828026,300268152.8662421,307186624.2038217,341356050.955414,287241401.2738853,295631210.1910828,327632484.0764331,9266878.98089172,7629299.363057325,10463057.32484076,11635031.84713376,10136942.67515923,12201910.82802548
23,34,733121.0191082802,565605.0955414013,390445.8598726115,772554777.0700637,713812738.8535031,802666242.0382165,906138853.5031848,924385987.2611464,1048721019.10828,566789171.9745222,788371337.5796179,962521019.1082802,1002589171.974522,1677626751.592357,1874092993.630573,71337579.61783439,71337579.61783439,71337579.61783439,84305095.54140127,17156687.89808917,44081528.66242038,805995541.4012738,39351592.3566879,102034394.9044586,960260509.55414,246130573.2484076,222507006.3694268,198194267.5159236,1193177707.006369,1098117197.452229,494584713.3757961,1059898089.171975,1386136305.732484,864162420.3821656,2338725477.707006,2656225477.707006,1243119745.22293,1488781528.66242,2184076433.121019,811074522.2929935,1054981528.66242,1734964331.210191,4919108.280254777,36868152.86624204,52375159.23566879,105040127.388535,138578980.8917197,133966242.0382166
24,38,42309554.14012738,47496178.34394904,59226751.59235669,809235031.8471338,732549044.5859872,974338216.5605096,851544585.987261,1082319108.280255,1097824203.821656,196931847.1337579,202457324.8407643,353721656.0509554,550431210.1910828,518901910.8280255,888752229.299363,1603184.713375796,1603184.713375796,1603184.713375796,362733121.0191083,512821656.0509554,810714012.7388535,455742038.2165605,610729299.3630573,628131210.1910828,701892356.687898,802043312.1019108,799163694.2675159,0.0,0.0,0.0,333090445.8598726,281225477.7070063,371398089.1719745,337350318.4713376,286356050.955414,376698726.1146497,1735392993.630573,2101010828.025478,2680025477.707006,1397642038.21656,1619789808.917197,1960884713.375796,159319745.2229299,188414012.7388535,386477070.0636942,196627388.5350318,294408917.1974522,520096178.343949
25,39,0.0,0.0,0.0,201549044.5859872,210656050.955414,216505095.5414013,328745859.8726115,337591082.8025478,349500636.9426752,894791082.8025477,992092356.687898,1450535031.847134,1655166242.038217,1867394904.458599,2423319108.280255,78343.94904458598,78343.94904458598,78343.94904458598,1231848407.643312,1314861146.496815,1750258598.726115,0.0,0.0,0.0,0.0,0.0,0.0,212945859.8726115,358787898.0891719,423935031.8471338,537380254.77707,529714649.6815286,596636305.7324841,752063694.2675159,890124840.7643312,1022561146.496815,1937238216.560509,2159308917.197452,2840623566.878981,1790134394.904459,1966366242.038217,2173326114.649682,73278980.89171974,122119745.2229299,571409554.1401274,105588535.0318471,150001910.8280255,620297452.2292993
26,40,0.0,0.0,0.0,25010828.02547771,25912101.91082802,31529299.36305732,39675159.23566879,39722929.93630573,45340127.38853503,229860509.5541401,262850955.4140127,243456050.955414,653073248.4076433,639392356.687898,650485987.2611464,6412101.910828025,6412101.910828025,6412101.910828025,603432484.0764331,596994267.5159235,598603821.6560509,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,89315923.56687897,82121019.10828026,97222292.99363056,89315923.56687897,82121019.10828026,97222292.99363056,462073885.3503184,481183439.4904459,384030573.2484076,438868152.866242,465874522.2929936,372436305.732484,3199363.057324841,-4222929.936305732,5953503.184713376,10452866.24203822,32484.07643312102,1989171.974522293
27,41,26751.5923566879,21019.10828025478,32484.07643312102,706541401.2738854,615731847.133758,553196178.3439491,2048184076.433121,1953777070.063694,1593550318.471338,1768926751.592357,1488861146.496815,1520956687.898089,3652968789.808917,3653914012.738853,3339136305.732484,2547914649.681529,2547914649.681529,2547914649.681529,411392356.6878981,434198089.1719745,-1430649681.528662,249331210.1910828,268789808.9171975,898886624.2038217,404966242.0382165,650186624.2038217,1152212738.853503,2241767515.923567,2750021656.050955,2637908917.197452,2401608280.254777,1673961146.496815,1877519745.22293,4884794267.515924,4523306369.426751,5211123566.878981,3686218471.337579,3221313375.796178,2434793630.573248,3046038216.560509,2960638216.560509,2381042038.21656,122052866.2420382,40942038.21656051,-1648094904.458599,228702547.7707006,-111411464.9681529,-220125477.7070064
28,44,0.0,0.0,0.0,49234394.9044586,54534394.9044586,53098089.17197452,49234394.9044586,54534394.9044586,53098089.17197452,23938853.50318471,25740127.38853503,29677070.06369426,94215286.62420382,100778980.8917197,126671974.522293,21719745.22292994,21719745.22292994,21719745.22292994,107228025.477707,117493630.5732484,126456050.955414,24466242.03821656,24196178.34394904,10227388.53503185,24466242.03821656,24196178.34394904,10227388.53503185,2561146.496815287,0.0,0.0,620382.1656050956,5079617.834394904,43086624.20382165,11755414.01273885,13623566.87898089,43086624.20382165,266898089.1719745,414464331.2101911,276760509.5541401,187718471.3375796,334848407.6433121,212753503.1847134,51141401.27388535,48671337.57961784,33680891.71974522,54531210.1910828,51938853.50318471,39089808.91719745
29,45,351628025.477707,466864331.2101911,544955414.0127388,80363397452.2293,83367462420.38216,92001080891.71974,84913705095.5414,93892157961.78345,105065535031.8471,3169609554.140127,3981950955.414012,4545440764.33121,12932222292.99363,5853307006.369427,7711578980.89172,91842675.15923569,91842675.15923569,91842675.15923569,80305182802.54776,82239984076.43312,81088537579.61783,12179130573.24841,10782043949.04459,24453399363.05732,13387908280.25478,12440570063.69427,25780805732.48407,17608917.19745223,15596815.2866242,19417197.4522293,3710361146.496815,4590614649.681528,5352824203.821656,4152836305.732484,5064910828.025477,5907770700.636943,17855691082.80255,17254775796.17834,19336840764.33121,14858356050.95541,15466775159.23567,16634276433.12102,1749012738.853503,3861665605.095541,-1121638853.503185,1988546496.815287,1092087261.146497,1952582165.605095
30,49,0.0,0.0,0.0,1572635668.789809,1478232484.076433,1500299363.057325,2281171974.522293,2460121656.050955,3368264331.210191,3208249681.528662,3061780891.719745,3637580891.719745,8476497452.229299,9281899363.057323,8876002547.7707,55203821.65605095,55203821.65605095,55203821.65605095,4444026114.649681,4583571974.522293,4913631210.191083,713375796.1783439,0.0,955414012.7388536,920266242.0382164,434215923.566879,1161289808.917197,2063694267.515924,2993630573.248407,2038216560.509554,2807107006.369427,3162541401.273885,3845435668.789809,5393377070.063694,6724233121.019108,6169345859.872611,13656620382.1656,12244978343.94904,14048886624.20382,11762454140.12739,10797797452.2293,12431117834.3949,605138853.5031847,366785350.3184713,575802547.7707006,1270058598.726115,758647133.7579618,896926114.6496814
31,54,7006.369426751592,4458.598726114649,1910.828025477707,1891177070.063694,2101450955.414013,2047641401.273885,1923671974.522293,2416661146.496815,2594771337.579618,10101540764.33121,9048068789.808916,17614961146.49681,43113810828.02547,48270628662.42038,58328301910.82803,210191.0828025478,271337.5796178344,271337.5796178344,2579862420.382165,818845859.8726114,154634394.9044586,1557905095.541401,533526114.6496815,9521514649.681528,20016920382.1656,20522205095.5414,34480584076.43312,270754140.1273885,2736580254.77707,2376670063.694267,21534689171.97452,25985433121.01911,23450630573.24841,22440700000.0,29346238853.50319,26287854777.07006,9086391082.802547,5943995541.401274,7190243312.101911,8948797452.2293,7883607006.369427,7976978343.949044,84240127.38853502,-2158080891.719745,-1335473885.350318,137593630.5732484,-1939611464.968153,-786735031.8471338
32,55,0.0,0.0,0.0,4801910.828025478,3705095.541401274,2717197.452229299,4801910.828025478,3705095.541401274,2717197.452229299,2920382.165605095,2218471.337579618,3279617.834394904,41007006.36942675,37866878.98089172,39861146.49681529,318471.3375796178,318471.3375796178,318471.3375796178,21130573.24840764,21222929.93630573,22668789.8089172,0.0,0.0,0.0,0.0,0.0,0.0,14877070.06369427,10021019.10828025,11063694.26751592,9801273.88535032,10328025.47770701,8845859.872611465,24678343.94904459,20349044.58598726,19909554.14012739,168372611.4649681,158581528.6624204,133622929.9363057,151129936.3057325,143437579.6178344,118371974.522293,994904.458598726,147770.7006369427,2002547.770700637,2596815.286624204,1453503.184713376,3082802.5477707
